entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
LOC1049350,place,STED-REGISTER,Point of interest (POI),,,Kalby Ris,Danmark,,,,,
LOC1049400,place,STED-REGISTER,Region,,,Kallebodstrand,Danmark,,,,,
LOC1049450,place,STED-REGISTER,Point of interest (POI),,,Kallehave,Danmark,,,,,
LOC1049500,place,STED-REGISTER,City,,,Kalmar,Sverige,,,,,
LOC1049550,place,STED-REGISTER,City,,,Kalundborg,Danmark,,,,,
LOC1049600,place,STED-REGISTER,City,,,Karasu,Tyrkiet,,,,,
LOC1049650,place,STED-REGISTER,City,,,Karise,Danmark,,,,,
LOC1049700,place,STED-REGISTER,Property,,,Karlberg,Sverige,,,,,
LOC1049750,place,STED-REGISTER,City,,,Karlowicz (Karlovci),Serbien,,,,,
LOC1049800,place,STED-REGISTER,City,,,Karlsbad,Tjekkiet,,,,,
LOC1049850,place,STED-REGISTER,Property,,,Karlsborg,Sverige,,,,,
LOC1049900,place,STED-REGISTER,City,,,Karlskrona,Sverige,,,,,
LOC1049950,place,STED-REGISTER,City,,,Karlsruhe,Tyskland,,,,,
LOC1050000,place,STED-REGISTER,City,,,Karlstad,Sverige,,,,,
LOC1050050,place,STED-REGISTER,Mountain,,,Karpaterne,Europa,,,,,
LOC1050100,place,STED-REGISTER,Point of interest (POI),,,Karrebæk,Danmark,,,,,
LOC1050150,place,STED-REGISTER,City,,,Karrebæksminde,Danmark,,,,,
LOC1050200,place,STED-REGISTER,City,,,Kassel,Tyskland,,,,,
LOC1050250,place,STED-REGISTER,City,,,Kastel,Tyskland,,,,,
LOC1050300,place,STED-REGISTER,City,,,Katrineholm,Sverige,,,,,
LOC1050350,place,STED-REGISTER,Sea,,,Kattegat,Danmark,,,,,
LOC1050400,place,STED-REGISTER,City,,,Katwijk,Holland,,,,,
LOC1050450,place,STED-REGISTER,Mountain,,,Kaukasus,Georgien,,,,,
LOC1050500,place,STED-REGISTER,City,,,Kazan,Rusland,,,,,
LOC1050550,place,STED-REGISTER,Island,,,Kea,Grækenland,,,,,
LOC1050600,place,STED-REGISTER,City,,,Kehl,Tyskland,,,,,
LOC1050650,place,STED-REGISTER,City,,,Kellinghusen,Tyskland,,,,,
LOC1050700,place,STED-REGISTER,City,,,Kempten,Tyskland,,,,,
LOC1050750,place,STED-REGISTER,City,,,Khalkis,Grækenland,,,,,
LOC1050800,place,STED-REGISTER,Island,,,Khios,Grækenland,,,,,
LOC1050850,place,STED-REGISTER,City,,,Kiel,Tyskland,,,,,
LOC1050900,place,STED-REGISTER,Sea,,,Kielerfjord,Tyskland,,,,,
LOC1050950,place,STED-REGISTER,Region,,,Kifissia,Grækenland,,,,,
LOC1051000,place,STED-REGISTER,River,,,Kifissos,Grækenland,,,,,
LOC1051050,place,STED-REGISTER,Property,,,"Kilburn, Bransbury House",England,,,,,
LOC1051100,place,STED-REGISTER,Country,,,Kina,Kina,,,,,
LOC1051150,place,STED-REGISTER,Mountain,,,Kinnekulle,Sverige,,,,,
LOC1051200,place,STED-REGISTER,City,,,Kirkcaldy,Skotland,,,,,
LOC1051250,place,STED-REGISTER,Country,,,Kirkestaten,Vatikanstaten,,,,,
LOC1051300,place,STED-REGISTER,River,,,Kirnitz,Tyskland,,,,,
LOC1051350,place,STED-REGISTER,City,,,Kissingen,Tyskland,,,,,
LOC1051400,place,STED-REGISTER,City,,,Klampenborg,Danmark,,,,,
LOC1051450,place,STED-REGISTER,River,,,Klara-Elven,Sverige,,,,,
LOC1051500,place,STED-REGISTER,City,,,Klaus,Tyskland,,,,,
LOC1051550,place,STED-REGISTER,City,,,Kleef,Tyskland,,,,,
LOC1051600,place,STED-REGISTER,Property,,,"Klopp, Burg",Tyskland,,,,,
LOC1051650,place,STED-REGISTER,Region,,,Kloster-Mansfeld,Tyskland,,,,,
LOC1051700,place,STED-REGISTER,City,,,Klosterneuburg,Østrig,,,,,
LOC1051750,place,STED-REGISTER,Property,,,Knivholt,Danmark,,,,,
LOC1051800,place,STED-REGISTER,Property,,,Knole House,England,,,,,
LOC1051850,place,STED-REGISTER,Region,,,"Knudshoved, Fyn",Danmark,,,,,
LOC1051900,place,STED-REGISTER,Property,,,Knuthenborg,Danmark,,,,,
LOC1051950,place,STED-REGISTER,City,,,Kobelnick,Polen,,,,,
LOC1052000,place,STED-REGISTER,City,,,Koblenz,Tyskland,,,,,
LOC1052050,place,STED-REGISTER,Lake,,,Kochelsee,Tyskland,,,,,
LOC1052100,place,STED-REGISTER,City,,,Kohlfurt,Polen,,,,,
LOC1052150,place,STED-REGISTER,City,,,Kolberg,Polen,,,,,
LOC1052200,place,STED-REGISTER,City,,,Kolbäck,Sverige,,,,,
LOC1052250,place,STED-REGISTER,City,,,Kolding,Danmark,,,,,
LOC1052300,place,STED-REGISTER,City,,,Kolin,Tjekkiet,,,,,
LOC1052350,place,STED-REGISTER,City,,,Kollmann,Italien,,,,,
LOC1052400,place,STED-REGISTER,Region,,,Kolonos,Grækenland,,,,,
LOC1052450,place,STED-REGISTER,City,,,Komorn (Komárno),Slovakiet,,,,,
LOC1052500,place,STED-REGISTER,Point of interest (POI),,,"Kongens Have, København",Danmark,,,,,
LOC1052550,place,STED-REGISTER,River,,,Kongeaaen,Danmark,,,,,
LOC1052600,place,STED-REGISTER,Property,,,Kongsdal,Danmark,,,,,
LOC1052650,place,STED-REGISTER,City,,,Kongsvinger,Norge,,,,,
LOC1052700,place,STED-REGISTER,City,,,Konstantinopel,Tyrkiet,,,,,
LOC1052750,place,STED-REGISTER,City,,,Konstanz,Tyskland,,,,,
LOC1052800,place,STED-REGISTER,City,,,Korinth,Grækenland,,,,,
LOC1052850,place,STED-REGISTER,City,,,Korneuburg,Østrig,,,,,
LOC1052900,place,STED-REGISTER,City,,,Korsør,Danmark,,,,,
LOC1052950,place,STED-REGISTER,Property,,,Kowicz,Polen,,,,,
LOC1053000,place,STED-REGISTER,Property,,,Krebshuset Kro,Danmark,,,,,
LOC1053050,place,STED-REGISTER,Property,,,"Kreischa, Bad",Tyskland,,,,,
LOC1053100,place,STED-REGISTER,City,,,Krempe,Tyskland,,,,,
LOC1053150,place,STED-REGISTER,Island,,,Kreta,Grækenland,,,,,
LOC1053200,place,STED-REGISTER,City,,,"Kreuznach, Bad",Tyskland,,,,,
LOC1053250,place,STED-REGISTER,City,,,Krippen (ved Schandau),Tyskland,,,,,
LOC1053300,place,STED-REGISTER,City,,,Kristinehamn,Sverige,,,,,
LOC1053350,place,STED-REGISTER,Property,,,Krogerup,Danmark,,,,,
LOC1053400,place,STED-REGISTER,Property,,,Kronborg,Danmark,,,,,
LOC1053450,place,STED-REGISTER,City,,,Kubin,Serbien,,,,,
LOC1053500,place,STED-REGISTER,City,,,Kuchl,Østrig,,,,,
LOC1053550,place,STED-REGISTER,City,,,Kufstein,Østrig,,,,,
LOC1053600,place,STED-REGISTER,Point of interest (POI),,,Kuhstall,Tyskland,,,,,
LOC1053650,place,STED-REGISTER,Property,,,Kulla Gunnarstorp,Sverige,,,,,
LOC1053700,place,STED-REGISTER,Point of interest (POI),,,Kullen,Sverige,,,,,
LOC1053750,place,STED-REGISTER,City,,,Kulm,Tjekkiet,,,,,
LOC1053800,place,STED-REGISTER,City,,,Kumla,Sverige,,,,,
LOC1053850,place,STED-REGISTER,City,,,Kungelf,Sverige,,,,,
