v094_id,legacy_id,entity_type,label,resolves
WOR010850,Reg003343,work,"Tyske 
- Sämtliche Märchen. Einzige vollst. vom Verf. besorgte Ausgabe. Mit 67 in den Text gedr. Holzschnitten u. 12 grossen Ill. nach Originalzeichnungen von L. Hutschenreuter u. V. Pedersen. 13. verm. u. verb. Aufl. (1870)",yes
WOR010900,Reg003342,work,"Tyske 
- Drei neue Märchen und Geschichten. Hühnergrethens Familie. Was die Distel erlebte. Worauf Einer verfallen kann. Deutsch von August W. Peters (1870)",yes
WOR010950,Reg003346,work,Tyske - Ausgewählte Märchen. Deutsch von Julius Reuscher. (Lpz. 1871),yes
WOR011000,Reg003342,work,"Tyske 
- Neue Märchen und Geschichten. Deutsch von Wilhelm Reinhardt. (Bremen 1873)",yes
WOR011050,Reg001150,work,"Engelske 
- A Poet's Day Dreams (1853)",yes
WOR011100,Reg001157,work,"Engelske 
- The Sand-hills of Jutland (1860)",yes
WOR011150,Reg001155,work,"Engelske 
- The Ice-Maiden. Tr. from the Danish by Mrs. Bushby. With drawings by Zwecker, engraved by Pearson (1863)",yes
WOR011200,Reg001156,work,"Engelske 
- The Ice-Maiden. Tr. from the Danish by Mrs. Bushby. With drawings by Zwecker, engraved by Pearson (1863) - Ny Udgave 1875 (Ͻ: 1874)",yes
WOR011250,Reg001152,work,"Engelske 
- Hans Christian Andersen's Stories for the Household. Tr. by H.W. Dulcken. With 220 illustrations by A. W. Bayes (1866)",yes
WOR011300,Reg001153,work,"Engelske 
- Later Tales, published during 1867 and 1868. Tr. by Caroline Peachey, Augusta Plesner and Henry Ward. With ill.s by Otto Speckter (1869)",yes
WOR011350,Reg001151,work,"Engelske 
- Andersen's Tales for Children. Tr. by A. Wehnert. With ill.s by E. H. Wehnert, W. Thomas, and others (1869)",yes
WOR011400,Reg001154,work,"Engelske 
- The Dryad. [Tr. by A.M. and Augusta Plesner]. (Aunt Judy's Magazine 1869)",yes
WOR011450,Reg001158,work,"Engelske 
- The Wood Nymph. Tr. from the Danish by A.M. and Augusta Plesner (1870)",yes
WOR011500,Reg001163,work,Engelske - Wonder Stories. Told for Children. (New York 1870),yes
WOR011550,Reg001159,work,"Engelske - Fairy Tales and Sketches. Tr. by Caroline Peachey, Augusta Plesner, H. Ward, and others. With 81 vignettes by O. Speckter, and other illustrations by A.W. Cooper, A.W. Bayes, etc., etc. (London 1870).",yes
WOR011600,Reg001162,work,Engelske - Stories and Tales (New York 1871).,yes
