01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	12_adapted_from_creator	RegistryTitelID
standardpost	False	NovelsPlaysTales	Joseph solgt af sine Brødre						True	7.4.1843, Gymnase des enfants, Paris		Reg001825
standardpost	False	NovelsPlaysTales	Jovial, stadstjenare och poet		Théaulon; Choquart				True			Reg001829
standardpost	False	NovelsPlaysTales	Der Jude		J. F. H. Brockmann				True		Richard Cumberland	Reg000786
standardpost	False	NovelsPlaysTales	Judith		Delphine de Girardin				True			Reg001834
standardpost	False	NovelsPlaysTales	Julestuen		L. Holberg				True			Reg001840
standardpost	False	NovelsPlaysTales	Julia		Fr. Hebbel				True			Reg001842
standardpost	False	NovelsPlaysTales	Julian den Frafaldne		C. Hauch				True			Reg001844
standardpost	False	NovelsPlaysTales	Julius Cæsar		W. Shakespeare				True			Reg001845
standardpost	False	NovelsPlaysTales	Die Jungfrau von Orleans		Fr. von Schiller				True			Reg000887
standardpost	False	NovelsPlaysTales	Juvelskrinet		H. Hertz				True			Reg001855
standardpost	False	NovelsPlaysTales	Kabale und Liebe		Fr. von Schiller				True			Reg001863
standardpost	False	NovelsPlaysTales	Kalanus		Fr. Paludan-Müller				True			Reg001866
standardpost	False	NovelsPlaysTales	Kalifen paa Eventyr		Erik Bøgh				True			Reg001868
standardpost	False	NovelsPlaysTales	Kammeraterne		E. Scribe				True			Reg001869
standardpost	False	NovelsPlaysTales	Kamp og Seier		Erneste Legouvé				True			Reg001870
standardpost	False	NovelsPlaysTales	Kan ei		J. L. Runeberg				True			Reg001871
standardpost	False	NovelsPlaysTales	Kanariefuglen		William Bloch; Nicolaj Bøgh				True			Reg001872
standardpost	False	NovelsPlaysTales	Karel Skreta, malír		V. A. Swoboda				True			Reg001875
standardpost	False	NovelsPlaysTales	Das Kasernen-Zimmer						True	1.12.1840, München		Reg000595
standardpost	False	NovelsPlaysTales	Kean		Alexandre Dumas père; Théaulon; de Courcy				True			Reg001885
standardpost	False	NovelsPlaysTales	Kierlighed uden Strømper		J. H. Wessel				True			Reg001891
standardpost	False	NovelsPlaysTales	Die Kinder des Regiments		Friedrich Blum				True			Reg000888
standardpost	False	NovelsPlaysTales	Der Kinderfreund		C. F. Weisze				True			Reg000787
standardpost	False	NovelsPlaysTales	Kirsten Pils Kilde		J. M. Thiele				True			Reg001895
standardpost	False	NovelsPlaysTales	Kjærlighed og Politik		Viggo Hindberg				True			Reg001898
standardpost	False	NovelsPlaysTales	Kjærlighed og Statistik		Johs. Helms				True			Reg001899
standardpost	False	NovelsPlaysTales	En Kjærlighedsdrøm		E. Scribe; Biéville				True			Reg001094
standardpost	False	NovelsPlaysTales	Kjøbmanden i Venedig		W. Shakespeare				True			Reg001904
standardpost	False	NovelsPlaysTales	Klaus Rigmands Skat		J. M. Thiele				True			Reg001905
krydshenvisning	False	NovelsPlaysTales	Klokker Link, Vaudeville-Monolog					Ja!	True			Reg001914
standardpost	False	NovelsPlaysTales	Klokkerfamilien	Plan til Sangspil	Bj. Bjørnson				True			Reg001915
standardpost	False	NovelsPlaysTales	Knud Svendsøn		Chr. Bredahl				True			Reg001919
standardpost	False	NovelsPlaysTales	Komedie der Irrungen	The Comedy of Errors	W. Shakespeare				True			Reg001921
standardpost	False	NovelsPlaysTales	En Kone, der springer ud af Vinduet		E. Scribe; G. Lemoine				True			Reg001095
standardpost	False	NovelsPlaysTales	Kong Lear		W. Shakespeare				True			Reg001924
standardpost	False	NovelsPlaysTales	Kong René's Datter		H. Hertz				True			Reg001927
standardpost	False	NovelsPlaysTales	Kong Salomon og Jørgen Hattemager		J. L. Heiberg				True			Reg001928
krydshenvisning	False	NovelsPlaysTales	Kong Valdemar og Tovelille					König Waldemar und Tovelille	True			Reg001931
standardpost	False	NovelsPlaysTales	Kong Waldemar og Bisp Absalon		H. Scharling				True			Reg001932
standardpost	False	NovelsPlaysTales	Kong Sigurd		C. J. Boye				True			Reg001930
standardpost	False	NovelsPlaysTales	Kongens Yndling		C. Hauch				True			Reg001934
standardpost	False	NovelsPlaysTales	Kongs-Emnerne		H. Ibsen				True			Reg001937
standardpost	False	NovelsPlaysTales	Korsikaneren. Syngestykke, bearb. af Adolph Hertz. Musiken af Emil Hartmann		J. H. V. de Saint-Georges				True			Reg001941
standardpost	False	NovelsPlaysTales	Kostgjængerne		Daniel; Hagen				True			Reg001944
standardpost	False	NovelsPlaysTales	Kroisos, Lydiens sidste Konge		Alfred Flinch				True			Reg001948
standardpost	False	NovelsPlaysTales	Der Kurmärker und die Picarde		Louis Schneider				True			Reg000791
standardpost	False	NovelsPlaysTales	Das Käthchen von Heilbronn		Heinrich von Kleist				True			Reg000596
standardpost	False	NovelsPlaysTales	König Waldemar und Tovelille		Georgia Høst				True			Reg001959
standardpost	False	NovelsPlaysTales	Die Königin von Navarra	Les Contes de la reine de Navarre	Legouvé; E. Scribe		Dronning Marguerites Noveller		True			Reg000890
standardpost	False	NovelsPlaysTales	Die Königin von sechzehn Jahre		Theodor Hell		Dronningen paa 16 Aar (Sp. 60)		True		Bayard	Reg000891
standardpost	False	NovelsPlaysTales	Die Königstochter ein Bettlerweib		Ernst Raupach				True			Reg000892
krydshenvisning	False	NovelsPlaysTales	Landet fundet og forsvundet (A. Oehlenschlæger)					De to Armringe	True			Reg002033
standardpost	False	NovelsPlaysTales	Leichtsinn aus Liebe		Ed. von Bauernfeld				True			Reg002101
standardpost	False	NovelsPlaysTales	Lenore oder die Vermählung am Grabe		Karl von Holtei				True			Reg002103
standardpost	False	NovelsPlaysTales	D'letzte Fensterln		Johann Gabriel Seidl				True			Reg000562
standardpost	False	NovelsPlaysTales	Das Liebesprotokoll		E. von Bauernfeld				True			Reg000598
standardpost	False	NovelsPlaysTales	Lige for Lige	Measure for Measure	W. Shakespeare		Masz für Masz		True			Reg002153
standardpost	False	NovelsPlaysTales	En lille Heks af George Sands Roman »La petite Fadette«)		Ad. Recke; P. Aalborg		Die Grille		True		en tysk Dramatisering (»Die Grille«	Reg001138
standardpost	False	NovelsPlaysTales	Den lille Hyrdedreng		A. Oehlenschlæger				True			Reg000733
standardpost	False	NovelsPlaysTales	Lindane oder Die Fee und der Haarbeutelschneider		A. Bäuerle				True			Reg002160
standardpost	False	NovelsPlaysTales	La Lisette de Béranger		Monolog af Frédéric Bérat				True			Reg001992
standardpost	False	NovelsPlaysTales	El loco de la Guardilla		Narciso Serra				True			Reg001044
standardpost	False	NovelsPlaysTales	Lord William Russell		A. Munch				True			Reg002177
standardpost	False	NovelsPlaysTales	Louise Bernard		Alexandre Dumas peré				True			Reg002179
standardpost	False	NovelsPlaysTales	Lucrèce		Fr. Ponsard				True			Reg002189
standardpost	False	NovelsPlaysTales	Ludlams Hule		A. Oehlenschlæger				True			Reg002190
standardpost	False	NovelsPlaysTales	Luftens Datter		P. Faber				True		Cogniard og Raymond	Reg002196
standardpost	False	NovelsPlaysTales	Die Luftschlösser		A. F. Weidner				True			Reg000895
standardpost	False	NovelsPlaysTales	Lumpacivagabundus		J. N. Nestroy				True			Reg002197
standardpost	False	NovelsPlaysTales	Ein Lustspiel		R. Benedix				True			Reg001027
standardpost	False	NovelsPlaysTales	Lycksalighetens ö		P. D. A. Atterbom				True			Reg002200
standardpost	False	NovelsPlaysTales	Der Lügner und sein Sohn		K. Meisl				True			Reg000793
standardpost	False	NovelsPlaysTales	Lygtemænd		William Bloch				True			Reg002201
standardpost	False	NovelsPlaysTales	Det lykkelige Skibbrud		L. Holberg				True			Reg000854
standardpost	False	NovelsPlaysTales	De lykkeligste Børn		Clara Andersen				True			Reg000644
standardpost	False	NovelsPlaysTales	Lykkens Skjødebarn		H. P. Holst				True		Charlotte Birch-Pfeiffer	Reg002208
standardpost	False	NovelsPlaysTales	De lystige Koner i Windsor		W. Shakespeare		The Merry Wives of Windsor		True			Reg000646
standardpost	False	NovelsPlaysTales	Lystspil, oversatte af Benedicte Arnesen Kall. I-III		Molière				True			Reg002213
standardpost	False	NovelsPlaysTales	De lærde Damer		Molière				True			Reg000647
standardpost	False	NovelsPlaysTales	Die Lästerschule	School for Scandal	Richard Brinsley Sheridan		Bagtalelsens Skole og School for Scandal		True			Reg000896
standardpost	False	NovelsPlaysTales	Macbeth		W. Shakespeare				True			Reg002225
standardpost	False	NovelsPlaysTales	Madame d'Egmont, ou Sont-elles deux?		J. Ancelot; Decomberousse				True			Reg002230
standardpost	False	NovelsPlaysTales	Mademoiselle Déjazet au Sérail, ou Le Palais-Royal en 1872		J. F. A. Bayard; Gabriel de Lurieu				True			Reg002231
standardpost	False	NovelsPlaysTales	Madonna		Heinrich Bode				True			Reg002236
standardpost	False	NovelsPlaysTales	Magister Ageholm eller Fragmenterne		Arthur Ejserman				True			Reg002285
standardpost	False	NovelsPlaysTales	Man kan, hvad man vil		Jacques Ancelot; Decomberousse				True			Reg002289
standardpost	False	NovelsPlaysTales	Man skal Ingenting forsværge		Alfred de Musset				True			Reg002291
standardpost	False	NovelsPlaysTales	Marco Sciarra, apperettatore de Io quartiere de puorto ossia l'ommo che nun se fa li fatte suoie cu la Ianterna va truvanno guaie		Orazio Schiano				True			Reg002297
standardpost	False	NovelsPlaysTales	Margherita di Waldemar, regina delle tre corone del Nord		G. C. Cosenza				True			Reg002300
standardpost	False	NovelsPlaysTales	Margrethe		Karl von Holtei				True			Reg002301
standardpost	False	NovelsPlaysTales	Maria Stuart		Fr. von Schiller				True			Reg002315
standardpost	False	NovelsPlaysTales	Maria Stuart i Skotland		Bj. Bjørnson				True			Reg002316
standardpost	False	NovelsPlaysTales	Maria Tudor		V. Hugo				True			Reg002317
standardpost	False	NovelsPlaysTales	Le Mariage au tambour		Ad. de Leuven; Brunswick		Et Giftermaal ved Trommen		True			Reg002077
standardpost	False	NovelsPlaysTales	Le Mariage de Figaro		Beaumarchais				True			Reg002078
standardpost	False	NovelsPlaysTales	Marie		A. von Kotzebue				True			Reg002329
standardpost	False	NovelsPlaysTales	Marie Antoinette		M. W. Brun				True			Reg002330
standardpost	False	NovelsPlaysTales	Marie-Jeanne		Ad. Dennery; Mallian				True			Reg002332
standardpost	False	NovelsPlaysTales	Marie Stuart		Pierre Lebrun				True		Schiller	Reg002331
standardpost	False	NovelsPlaysTales	Marion de Lorme		V. Hugo				True			Reg002334
standardpost	False	NovelsPlaysTales	Die Marquise von Vilette		Charlotte Birch-Pfeiffer				True			Reg000897
standardpost	False	NovelsPlaysTales	La Marraine		E. Scribe; Lockroy; Chabot de Bouin		Den unge Gudmoder		True			Reg001994
standardpost	False	NovelsPlaysTales	Une Martingale		Clairville; Cham; Rochefort				True			Reg003381
standardpost	False	NovelsPlaysTales	Mascarade		L. Holberg				True			Reg002342
krydshenvisning	False	NovelsPlaysTales	Der Maschinenbauer					Capital og Arbeide	True			Reg000794
standardpost	False	NovelsPlaysTales	Masz für Masz	Measure for Measure	W. Shakespeare		Lige for Lige		True			Reg002345
standardpost	False	NovelsPlaysTales	Mathilde		Roderich Benedix				True			Reg002346
standardpost	False	NovelsPlaysTales	Médée		Ernest Legouvé				True			Reg002450
standardpost	False	NovelsPlaysTales	»Meer end nok« eller Ole Lukøie		Erik Bøgh; Kristian Arentzen				True			Reg003657
standardpost	False	NovelsPlaysTales	Mein Freund		J. N. Nestroy				True			Reg002365
standardpost	False	NovelsPlaysTales	Meister Andrea		Emanuel Geibel				True			Reg002366
standardpost	False	NovelsPlaysTales	Mejonkvrouw de La Seiglière		Jules Sandeau		Slottet i Poitou		True			Reg002368
standardpost	False	NovelsPlaysTales	Les Mémoires du Diable		Etienne Arago; Paul Vermond		Djævelens Memoirer		True			Reg002126
standardpost	False	NovelsPlaysTales	Merlin		Karl Immermann				True			Reg002377
standardpost	False	NovelsPlaysTales	The Merry Wives of Windsor		W. Shakespeare		De lystige Koner i Windsor		True			Reg003218
standardpost	False	NovelsPlaysTales	Mester Gert Westphaler		L. Holberg				True			Reg002379
standardpost	False	NovelsPlaysTales	Mester og Lærling		C. Hostrup				True			Reg002380
standardpost	False	NovelsPlaysTales	Metal og Papir		J. C. Gerson				True			Reg002382
standardpost	False	NovelsPlaysTales	Les Métamorphoses de Bougival		Adolphe Favre; Ad. Stel				True			Reg002127
standardpost	False	NovelsPlaysTales	Michel Perrin		Mélesville; Ch. Duveyrier				True			Reg002386
standardpost	False	NovelsPlaysTales	Mille et une nuits		Th.; H. Cogniard				True			Reg002393
standardpost	False	NovelsPlaysTales	Min egen Dreng		Carl Møller; William Faber				True		A. l’Arronge	Reg002396
standardpost	False	NovelsPlaysTales	Min Lykkestjerne		E. Scribe				True			Reg002394
standardpost	False	NovelsPlaysTales	Min Onkels Slaabrok	De Huisjapon van mij' Oom	Vrij naar het Hoogduitsch door J. Both J. Jzn				True			Reg002395
standardpost	False	NovelsPlaysTales	Minna von Barnhelm		G. E. Lessing				True			Reg002408
standardpost	False	NovelsPlaysTales	Mirandolina	La locandiera	Goldoni				True			Reg002411
standardpost	False	NovelsPlaysTales	Mit der Feder		Sigmund Schlesinger				True			Reg002419
standardpost	False	NovelsPlaysTales	Moder og Søn		A. Munch				True			Reg002420
standardpost	False	NovelsPlaysTales	Molière		Charles Desvoyer; Eugène Labat				True			Reg002425
standardpost	False	NovelsPlaysTales	Monsieur Mouflet		Léon Halévy; Jaime				True			Reg002427
standardpost	False	NovelsPlaysTales	Morbror Per		R. Benedix				True			Reg002429
standardpost	False	NovelsPlaysTales	La morisca de Alajuar		Ángel de Saavedra, Hertug al Rivas				True			Reg002020
standardpost	False	NovelsPlaysTales	Les Mousquetaires du carneval		Eugène Grangé; Lambert Thibouet				True			Reg002125
standardpost	False	NovelsPlaysTales	Mutter und Sohn		Charlotte Birch-Pfeiffer				True			Reg002445
standardpost	False	NovelsPlaysTales	Der Müller und sein Kind		Ernst Raupach				True			Reg000797
standardpost	False	NovelsPlaysTales	Das Mädchen aus der Feenwelt oder der Bauer als Millionär		Ferd. Raimund				True			Reg000600
standardpost	False	NovelsPlaysTales	Die Mäntel		E. Scribe				True			Reg000899
standardpost	False	NovelsPlaysTales	Mönch und Soldat		Friedrich Kaiser				True			Reg002451
standardpost	False	NovelsPlaysTales	Die Mönche		Millenet				True			Reg000900
standardpost	False	NovelsPlaysTales	Naar Djævelen banker paa!		Benjamin Feddersen				True		Dupeuty, Dumersan og Gabriel	Reg002457
standardpost	False	NovelsPlaysTales	Naar Katten er ude		Carl Møller				True			Reg002458
standardpost	False	NovelsPlaysTales	Nach Sonnenuntergang		Louis Angely				True			Reg002461
standardpost	False	NovelsPlaysTales	Nacht und Morgen		Charlotte Birch-Pfeiffer				True			Reg002463
standardpost	False	NovelsPlaysTales	Namenlos		David Kalisch; Ernst Pohl				True			Reg002465
krydshenvisning	False	NovelsPlaysTales	Nante					Der Eckensteher Nante im Verhör	True			Reg002466
standardpost	False	NovelsPlaysTales	Napoleon Bonaparte, Eerste Konsul		H. J. Schimmel				True			Reg002468
standardpost	False	NovelsPlaysTales	En Nat mellem Fjeldene		C. Hostrup				True			Reg001104
standardpost	False	NovelsPlaysTales	Nathan der Weise		G. E. Lessing				True			Reg002478
standardpost	False	NovelsPlaysTales	En Nattegjæst	Two o'clock in the Morning	Lockroy & Anicet				True			Reg001106
standardpost	False	NovelsPlaysTales	Nehmt ein Exempel dran!		Karl Töpfer		Seer Jer i Speil		True			Reg002496
standardpost	False	NovelsPlaysTales	Nei		J. L. Heiberg				True			Reg002497
standardpost	False	NovelsPlaysTales	Nero Cæsar		L. Lund				True			Reg002504
krydshenvisning	False	NovelsPlaysTales	Die Nibelungen (E. Geibel)					Brunhild	True			Reg000902
standardpost	False	NovelsPlaysTales	Die Nibelungen		Fr. Hebbel				True			Reg000903
standardpost	False	NovelsPlaysTales	Ninon		H. Hertz				True			Reg002513
standardpost	False	NovelsPlaysTales	N° 777		Carl Lebrun				True			Reg002572
standardpost	False	NovelsPlaysTales	Nornerne, Forspil til Balletten Thrymskviden		H. P. Holst				True			Reg002530
standardpost	False	NovelsPlaysTales	La Nouvelle Psyché		Félicien Mallefille				True			Reg001995
standardpost	False	NovelsPlaysTales	La Nuit de Mardi-gras		Emile Fontaine				True			Reg001996
standardpost	False	NovelsPlaysTales	Nur eine Seele		Wilhelm Wolfsohn				True			Reg002537
standardpost	False	NovelsPlaysTales	De Nygifte		Bj. Björnson				True			Reg000625
standardpost	False	NovelsPlaysTales	Nytaarsnat 1869		Erik Bøgh				True			Reg002569
standardpost	False	NovelsPlaysTales	Nytaarsnat 1872-73		Paul Marcussen; Rich. Kaufmann; Carl Wulff				True			Reg002570
standardpost	False	NovelsPlaysTales	En nyttig Onkel		Clara Andersen				True			Reg001139
standardpost	False	NovelsPlaysTales	Oberon		J. R. Planché				True			Reg002586
standardpost	False	NovelsPlaysTales	Oidipus i Kolonos		Sofokles				True			Reg002596
standardpost	False	NovelsPlaysTales	Den oldenborgske Stamme i Danmark. En Cyclus af Skuespil	Christjern, Kongefader. - Kong Hans	Benedicte Arnesen Kall				True			Reg000745
standardpost	False	NovelsPlaysTales	En Omelette		V. C. S. Topsøe				True			Reg001107
standardpost	False	NovelsPlaysTales	En Omvei		A. Thornam				True			Reg001108
standardpost	False	NovelsPlaysTales	Onkel Brand		Louis Angely				True			Reg002611
krydshenvisning	False	NovelsPlaysTales	Onkelen fra Californien					Svogeren fra Californien	True			Reg002612
standardpost	False	NovelsPlaysTales	Onkelens Slot		Desaugiers; Armand				True			Reg002613
standardpost	False	NovelsPlaysTales	L'Orphelin de la Chine		Henri Dupin				True			Reg001966
standardpost	False	NovelsPlaysTales	Les Orphelines du faubourg		E. Thirion; Hippolyte Bedeau				True			Reg002129
standardpost	False	NovelsPlaysTales	Die Osternacht		Wilhelm Wolfsohn				True			Reg000904
standardpost	False	NovelsPlaysTales	Othello		W. Shakespeare				True			Reg002632
standardpost	False	NovelsPlaysTales	Paa Jagt efter Eventyr		E. Augier; J. Sandeau				True			Reg002641
standardpost	False	NovelsPlaysTales	Palnatoke		A. Oehlensehlæger				True			Reg002645
standardpost	False	NovelsPlaysTales	Paläophron und Neoterpe		J. W. von Goethe				True			Reg002646
standardpost	False	NovelsPlaysTales	Pariserdrengen		Bayard; Vanderburch				True			Reg002655
standardpost	False	NovelsPlaysTales	Passions-Skuespillet i Oberammergau		J. A. Daisenberger				True			Reg002660
standardpost	False	NovelsPlaysTales	Le Pavé des journaux						True	6.2.1863, Délassements-Comiques, Paris		Reg002081
standardpost	False	NovelsPlaysTales	Un Péché de jeunesse		J. Samson; Jules de Wailly				True			Reg003372
standardpost	False	NovelsPlaysTales	Peer Gynt		H. Ibsen				True			Reg002667
standardpost	False	NovelsPlaysTales	Pernilles korte Frøkenstand		L. Holberg				True			Reg002674
standardpost	False	NovelsPlaysTales	El perro del castello	César ou Le chien du château	E. Scribe; A. F. Varner				True			Reg001045
standardpost	False	NovelsPlaysTales	Les Petits mystères de Paris		D. Chs. Dupeuty; Eug. Cormon				True			Reg002131
standardpost	False	NovelsPlaysTales	Phèdre		Jean Racine				True			Reg002685
standardpost	False	NovelsPlaysTales	Philoktet		A. Schöll				True			Reg002683
standardpost	False	NovelsPlaysTales	Die Piccolomini		Fr. von Schiller				True			Reg000905
standardpost	False	NovelsPlaysTales	Le pied de mouton		Martainville; Ribié		Mefistofeles (Ballet)		True			Reg002098
standardpost	False	NovelsPlaysTales	Les Pilules du Diable		F. Laloue; Bourgeois; Laurent				True			Reg002132
standardpost	False	NovelsPlaysTales	Politiet		Lockroy; Rosier				True			Reg002707
standardpost	False	NovelsPlaysTales	Den politiske Kandestøber		L. Holberg				True			Reg000747
standardpost	False	NovelsPlaysTales	Le Poltron		J. F. A. Bayard; Alphonse; Regnault				True			Reg002084
standardpost	False	NovelsPlaysTales	Polyeucte		Pierre Corneille				True			Reg002711
standardpost	False	NovelsPlaysTales	Portraitet		H. Hertz				True			Reg002718
standardpost	False	NovelsPlaysTales	Ein Posse als Medizin		Friedr. Kaiser				True			Reg001028
standardpost	False	NovelsPlaysTales	Pottemager Walter		J. L. Hedberg				True			Reg002724
standardpost	False	NovelsPlaysTales	Preciosa		Pius Alexander Wolff				True			Reg002729
krydshenvisning	False	NovelsPlaysTales	Prindsessen i den sovende Skov					To Tidsaldre	True			Reg002734
standardpost	False	NovelsPlaysTales	Prinz Friedrich von Homburg		Heinrich von Kleist				True			Reg002738
standardpost	False	NovelsPlaysTales	La Prise de Pékin		Ad. Dennery				True			Reg002002
standardpost	False	NovelsPlaysTales	Ein Prolog		L. Tieck				True			Reg001029
standardpost	False	NovelsPlaysTales	Der Prozess		Roderich Benedix				True			Reg000799
standardpost	False	NovelsPlaysTales	Qvindehævn		C. Hauch				True			Reg002759
standardpost	False	NovelsPlaysTales	Qvækeren og Dandserinden		E. Scribe; Paul Duport				True			Reg002761
standardpost	False	NovelsPlaysTales	Rabagas		V. Sardou				True			Reg002763
standardpost	False	NovelsPlaysTales	Rabbien og Ridderen		M. Goldschmidt				True			Reg002765
standardpost	False	NovelsPlaysTales	Ravnen		S. Meisling				True		C. Gozzi	Reg002773
standardpost	False	NovelsPlaysTales	Recensenten og Dyret		J. L. Heiberg				True			Reg002778
standardpost	False	NovelsPlaysTales	Der rechte Weg		Johann Hutt				True			Reg000835
standardpost	False	NovelsPlaysTales	Regina Dovagno		J. M. Firmenich-Richartz				True			Reg002780
standardpost	False	NovelsPlaysTales	Die Reise zur Hochzeit		J. W. Lembert				True			Reg000907
standardpost	False	NovelsPlaysTales	Et Reise-Eventyr		A. L. Arnesen				True			Reg001213
standardpost	False	NovelsPlaysTales	Le Retour ou La suite du Michel et Christine		E. Scribe; J. H. Dupin				True			Reg002088
standardpost	False	NovelsPlaysTales	Richard III		W. Shakespeare				True			Reg002803
standardpost	False	NovelsPlaysTales	Richards Wanderleben		Johann Georg Kettel				True		det Engelske	Reg002804
standardpost	False	NovelsPlaysTales	Et rigt Parti		Magdalene Thoresen				True			Reg001221
standardpost	False	NovelsPlaysTales	Ringen	Nr. 2	George Farquhar, bearbeidet af F. L. Schröder				True			Reg002810
standardpost	False	NovelsPlaysTales	Roaga		Fr. von Kobell				True			Reg002813
standardpost	False	NovelsPlaysTales	Robert und Bertram		Gustav Räder				True			Reg002818
standardpost	False	NovelsPlaysTales	Romantiske Dramer. En Kjøbmands Datter og en Kongesøn. Drømmeren		J. M. Thiele				True			Reg002841
standardpost	False	NovelsPlaysTales	Romeo e Giulietta		C. A. Warburg				True			Reg002843
standardpost	False	NovelsPlaysTales	Romeo og Julie		W. Shakespeare				True			Reg002845
standardpost	False	NovelsPlaysTales	Rosa og Rosita		Clara Andersen				True			Reg002848
standardpost	False	NovelsPlaysTales	Rose und Röschen		Charlotte Birch-Pfeiffer				True			Reg002850
standardpost	False	NovelsPlaysTales	Rubens i Madrid		Charlotte Birch-Pfeiffer				True			Reg002856
standardpost	False	NovelsPlaysTales	La Rue de la Lune		Charles Varin; Boyer				True			Reg002003
standardpost	False	NovelsPlaysTales	Rübezahl		A. Oehlenschlæger				True			Reg002868
standardpost	False	NovelsPlaysTales	Die Räuber		Fr. Von Schiller				True			Reg000908
standardpost	False	NovelsPlaysTales	Røverborgen		A. Oehlenschlæger				True			Reg002864
standardpost	False	NovelsPlaysTales	Salig Ferdinand		N. Fournier; G. Bondon				True			Reg002920
standardpost	False	NovelsPlaysTales	Salomon de Caus		Andreas Munch				True			Reg002921
standardpost	False	NovelsPlaysTales	Samlede Skuespil ved K. L. Rahbek l-IV		P. A. Heiberg				True			Reg002928
standardpost	False	NovelsPlaysTales	Sankt Sebastian						True			Reg002954
standardpost	False	NovelsPlaysTales	Sardanapal		Byron				True			Reg002957
standardpost	False	NovelsPlaysTales	Sappho		Fr. Grillparzer				True			Reg002956
standardpost	False	NovelsPlaysTales	Scapins Skalkestykker		Molière				True			Reg002962
standardpost	False	NovelsPlaysTales	Scheik Hassan		H. Hertz				True			Reg002965
standardpost	False	NovelsPlaysTales	Lo schiavo di S. Domingo [efter V. Hugos Roman Bug Jargal]						True	31.5.1846, Teatro Fiorentini, Napoli		Reg002169
standardpost	False	NovelsPlaysTales	Das Schloss Limburg		Benott-Joseph Marsollier				True			Reg000608
standardpost	False	NovelsPlaysTales	Der Schneider und sein Sohn		Thomas Morton				True			Reg000802
standardpost	False	NovelsPlaysTales	School for Scandal		R. B. Sheridan		Bagtalelsens Skole og Die Lästerschule		True			Reg002968
standardpost	False	NovelsPlaysTales	Die Schuld		A. Müllner				True			Reg000909
standardpost	False	NovelsPlaysTales	Die Schule der Verliebten		Karl Blum				True	Karl Blum efter J. Sheridan Knowles: »The Love-Chase«	J. Sheridan Knowles	Reg000910
standardpost	False	NovelsPlaysTales	Die Schule des Lebens		Ernst Raupach				True			Reg000911
standardpost	False	NovelsPlaysTales	Die Schärpe und die Blume		Calderón de la Barca				True			Reg000913
standardpost	False	NovelsPlaysTales	Seer Jer i Speil		Karl Töpfer		Nehmt ein Exempel dran!		True			Reg002977
krydshenvisning	False	NovelsPlaysTales	Sein Hut					Ein Hut	True			Reg002978
standardpost	False	NovelsPlaysTales	Die seltsame Ehen		Albin von Meddlhammer				True			Reg000931
standardpost	False	NovelsPlaysTales	Sie ist verheiratet		Friedrich Kaiser				True			Reg002990
standardpost	False	NovelsPlaysTales	Sigurd Slembe		Bj. Bjørnson				True			Reg002994
standardpost	False	NovelsPlaysTales	En Sjæl efter Døden		J. L. Heiberg				True			Reg001113
standardpost	False	NovelsPlaysTales	Skam til Tak		Leopold Budde				True			Reg003015
standardpost	False	NovelsPlaysTales	En Skavank		M. Goldschmidt				True			Reg001115
standardpost	False	NovelsPlaysTales	Skibsværftet		H. Hertz				True			Reg003020
standardpost	False	NovelsPlaysTales	En Skillevæg		Benedicte Arnesen Kall				True		Calderón	Reg001116
krydshenvisning	False	NovelsPlaysTales	Den skjønneste Qvinde					Den deiligste Qvinde	True			Reg000752
standardpost	False	NovelsPlaysTales	Skuespilleren imod sin Villie		Louis A. Dorvigny				True			Reg003030
standardpost	False	NovelsPlaysTales	En Skærsommernatsdrøm		W. Shakespeare				True			Reg001117
standardpost	False	NovelsPlaysTales	Slavinden	Cora ou l'esclavage	Erik Bøgh				True		Jules Barbier	Reg003037
standardpost	False	NovelsPlaysTales	Slouet i Poitou	Mademoiselle de la Seiglière	Jules Sandeau		Mejonkvrouw de La Seiglière		True			Reg003040
standardpost	False	NovelsPlaysTales	Slægtningerne		Henriette Nielsen				True			Reg003042
standardpost	False	NovelsPlaysTales	Smeden i Neumark		Wilh. Holst				True			Reg003046
standardpost	False	NovelsPlaysTales	Der Sohn der Wildnis		Fr. Halm				True			Reg000804
standardpost	False	NovelsPlaysTales	Der Sohn der Elfen		A. E. Wollheim da Fonseca				True			Reg000803
standardpost	False	NovelsPlaysTales	Der Sohn der Wildnis	Ørkenens Søn	Fr. Halm		Ørkenens Søn		True			Reg000805
standardpost	False	NovelsPlaysTales	Sokrates		Ludw. Eckardt				True			Reg003052
standardpost	False	NovelsPlaysTales	Solaces de un prisionero		Ángel de Saavedra, Hertug af Rivas				True			Reg003053
standardpost	False	NovelsPlaysTales	Der Soldat ganz allein		I. F. Castelli				True			Reg000808
standardpost	False	NovelsPlaysTales	Soldaterløier		C. Hostrup				True			Reg003056
standardpost	False	NovelsPlaysTales	Soldaterne		C. G. H. Arresto				True			Reg003057
standardpost	False	NovelsPlaysTales	Der Sonnenwendhof		S. H. Mosenthal		En Landsbyhistorie (H. C. Andersen, Sp. 61)		True			Reg000809
standardpost	False	NovelsPlaysTales	Sonnes Frieri		Ilia Fibiger				True			Reg003064
standardpost	False	NovelsPlaysTales	Sophie Arnoud		A. de Leuven; De Forges; Ph. Dumanoir				True			Reg003065
