entry_id	surname	verdict	head	n_tail_fragments	tail_fragments	xlsx_matches	scores
PerXI02142	Dohna	MANUAL	svensk Feltmarskal. III 334. d'Ohsson, Abraham Constantin	1	Mouradgea, Friherre (1779-1851), Historiker, svensk Gesandt i Berlin 1835-50.	Rappe, Carl, Friherre (1797–1880)	0.70
PerXI02170	Dorrien	MANUAL	Landfoged paa Før. II 429. d'Orsay,	1	Alfred, Greve (1801-52), Lady Blessingtons Svigersøn. III 219 230 241. d'Orsay, Harriet, Grevinde, f. Gardiner (1812-69), Datter af Charles Gardiner, Jarl af Biessington, g. 1° 1827 m. Alfred d'O., separeret 1838, 2° 1852 m. Charles Spencer Cowper.	Ahlefeldt, Greve	0.83
PerXI02253	Duntzfelt	MANUAL	Grosserer, Bestyrer af Fredens Mølles Fabrikker, Etatsraad. V 101. du	2	Plat, Cæsar (1804-74), Premierløjtnant i Kavalleriet, 1839 Ritmester, 1848 Major, gik s.A. over til Insurgenterne, 1852 udelukket fra Amnestien, Kostskoleleder i Hamburg, Kammerjunker 1823. I 119-20 122. II 442-43. du || Plat, Glode (1809-64), Broder til Cæsar d.P., 1850 Oberstløjtnant og Chef for 2. Forstærkningsbataillon, 1856 Oberst, 1860 Generalmajor og Kommandant i Rendsborg, Kammerherre 1848; faldet 18.4.1864.	du Plat, Cæsar (1804–1874) || du Plat, Giode (1809–1864)	0.88 || 0.80
PerXI02274	Düring	MANUAL	g. 1869 m. Otto v.D. VIII 307. — Se ogsaa: Maag, Sophie. Düring-Rosenkrantz, Carl	1	Frederik, Lensbaron (1792-1876), Ritmester, 1842- 54 Postmester i Aarhus, Kammerjunker.	Juel, Jens, Lensbaron (1631–1700)	0.65
PerXI03176	Grækenland	MANUAL	Søn af Christian IX af Danmark, Konge 1863. V 395 414-15 433-34. VII 18 170 259 274-75 277- 81. IX 101 103 230 306. X 30. — Se ogsaa: Danmark, Wilhelm, Prins af. Grækenland,	1	Georgios (Georg), Hertug af Corcyra (1869-1957), Søn af Georgios I af Grækenland, uddannet i Danmark som Søofficer, 1898-1906 Magternes Overkommissær paa Kreta.	Grækenland, Georgios (Georg), Hertug af Gorcyra (1869–1957)	0.83
PerXI03226	Güldencrone	MANUAL	g. 1° m. Klasselotteriinspektør, Kammerjunker Casper Heinen, 2° 1850 m. Baron Ove G. VI 5 143 314. IX 32. X 51. — Se ogsaa: Heinen, Isabella. Guldencrone, Ludvig	1	Ehrenreich, Baron (1833-71), Legationssekretær i Berlin, senere i London.	Haxthausen, Henrich, Baron (1831–1900)	0.70
PerXI03545	Hauch	MANUAL	Datter af Carsten H., g.1858 m. cand. theol., senere Biskop Th. Skat Rørdam. III 277. — Se ogsaa Rørdam, Marie.	3	Hauch, Mathilde (1831-1910), Datter af Carsten H., g.1859 m. Peter Koch. III 277. — Se ogsaa: Koch, Mathilde. || Hauch, Ottilie Margrethe (1847-75), Datter af Carsten H., g. 1871 m. P.A. C.Heiberg. VI 261. VII 368. IX 139. — Se ogsaa: Heiberg, Ottilie Margrethe. || Hauch, William (1829-1906), Søn af Carsten H., Telegrafist, Kancelliraad.	Hauch, Mathilde (1831–1910) || Hauch, Ottilie Margrethe (1847–1875) || Hogarth, William (1697–1764)	1.00 || 1.00 || 0.80
PerXI03549	Haulleville	MANUAL		1	Prosper, Baron (død 1898), Brüssel. VII 68. VIII 10. Haurowitz. Lion V. (død 1905, 80 Aar gl.), Hof-Handskemager.	Piessen, Baron	0.71
PerXI03841	Hjarup	MANUAL	Broder til Fru Inger Cathrine Meisling, Brygger, Agent. 1 4 8.	2	Hjelm, Octavia (1834-1918), g. 1856 m. Wladimir Moltke-Hvitfeldt. IV 233. — Se ogsaa: Moltke-Hvitfeldt, Octavia. || Hjelm, Sophie (1828-72), Søster til Octavia H.	Hjelm, Octavia (1834–1918) || Hjelm, Sophie (1828–1872)	1.00 || 1.00
PerXI03970	Holstein	MANUAL	Broder til F.C.v.H., Oberstløjtnant, 1812 Told- og Consumptions-Inspektør i Slagelse, Kammerjunker. I 11 20 44 51 53. Holstein (-Ledreborg), Henriette, Grevinde, f. Løvenørn (1842-1915), Datter af Frederik de Løvenørn, g. 1867 m. Lensgreve Ludvig (Louis) H.-L. VIII 110-11. — Se ogsaa: Løvenørn, Henriette.	1	Holstein, Hjalmar von (1809-78), Søn af Henning von H., fhv. Kaptajn, Toldforvalter i Frederikshavn 1851-66, Kammerjunker.	Holstein, Marie von (1799–1860)	0.85
