collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Birkedal,Vilhelm,1809,1892,exact,1,Reg0038720,"Birkedal, Vilhelm (1809–1892)"
Bismarck,Otto v.,1815,1898,exact,1,Reg0038730,"Bismarck, Otto von, Fyrste (1815–1898)"
Bissen,H. V.,1798,1868,exact,1,Reg0038790,"Bissen, H. V. (1798–1868)"
Bissen,Vilhelm,1836,1913,exact,1,Reg0038810,"Bissen, Vilhelm (1836–1913)"
Bjerring,Anna,1832,1902,exact,1,Reg0038910,"Bjerring, Anna (1832–1902)"
Bjerring,"Mariane, f. Bøggild",1798,1882,exact,1,Reg0038940,"Bjerring, Mariane, f. Bøggild (1798–1882)"
Bjerring,Niels Chr.,1804,1870,surname_only,1,Reg0038920,"Bjerring, Elisa, f. de Livio (død 1892)"
Bjorck,Ernst,1838,1868,exact,1,Reg0038960,"Björck, Ernst Daniel (1838–1868)"
Bjørnson,Bjørnstjerne,1832,1910,exact,1,Reg0039030,"Bjørnson, Bjørnstjeme (1832–1910)"
Bjørnson,Peder,1797,1871,surname_year_mismatch,6,Reg0039020;Reg0039030;Reg0039040;Reg0039050;Reg0039060;Reg0039070,"Bjørnson, Bjørn (1859–1942) | Bjørnson, Bjørnstjeme (1832–1910) | Bjørnson, Caroline, f. Reimers (1835–1934) | Bjørnson, Einar (1864–1942) | Bjørnson, Inger Elise, f. Nordraak (1808–1897) | Bjørnson, Peder (1799–1871)"
Blanvalet,H.,1811,1870,exact,1,Reg0039180,"Blanvalet, Henri (1811–1870)"
Blessington,"Marguerite, Lady, f. Power",1789,1849,exact,1,Reg0039230,"Blessington, Marguerite, Lady, f. Power (1789–1849)"
Blicher,Steen,1782,1848,exact,1,Reg0039250,"Blicher, Steen Steensen (1782–1848)"
Bloch,"Alma, f. Trepka",1845,1886,ambiguous,2,Reg0039370;Reg0039520,"Bloch, Alma, f. Trepka (1845–1886) | Bloch, William (1845–1926)"
Bloch,Carl,1834,1890,exact,1,Reg0039390,"Bloch, Carl (1834–1890)"
Bloch,William,1845,1926,ambiguous,2,Reg0039370;Reg0039520,"Bloch, Alma, f. Trepka (1845–1886) | Bloch, William (1845–1926)"
Blom,Harald Stoltenberg,1820,1913,exact,1,Reg0039600,"Blom, Harald Stoltenberg (1820–1913)"
Blom,Julius,1815,1900,exact,1,Reg0039610,"Blom, Julius (1815–1900)"
Blunck,D. C.,1798,1854,exact,1,Reg0039730,"Blunck, D. C. (1798–1854)"
Blücher,Frederik Emanuel v.,1806,1871,exact,1,Reg0039740,"Blücher, Frederik Emanuel von (1806–1871)"
Biædel,"Henriette, f. Dons",1814,1879,exact,1,Reg0039770,"Biædel, Henriette, f. Dons (1814–1879)"
Biædel,Nicolai Gottlieb,1816,1879,surname_year_mismatch,1,Reg0039770,"Biædel, Henriette, f. Dons (1814–1879)"
Bocage,Manoel Barbosa du,1766,1805,none,0,,
Bodenhausen,"F. v., Autografsamler i Berlin III, 14. Bojesen, E. F. C.",1803,1864,none,0,,
Bojesen,"Maria, f. Weiss",1807,1898,exact,1,Reg0040160,"Bojesen, Maria, f. Weise (1807–1898)"
Bonivard,Franz v.,1496,1570,exact,1,Reg0040320,"Bonivard, Franz von (1496–1570)"
Bonnay,"Catherine de, Marquise, f. O’Neill",1789,1879,exact,1,Reg0040330,"Bonnay, Cathérine de, Marquise, f. O’ Neill (1789–1879)"
Bonnay,"Charles-François de, Marquis",1750,1825,surname_only,1,Reg0040340,"Bonnay, Erneste"
Bonnier,Albert,1820,1900,exact,1,Reg0040390,"Bonnier, Albert (1820–1900)"
Borgaard,Carl,1799,1868,exact,1,Reg0040500,"Borgaard, Carl (1799–1868)"
Bornemann,Ferd. Wilh. Ludw.,1798,1864,exact,1,Reg0040590,"Bornemann, Fred. Wilh. Ludw. (1798–1864)"
Bourbon,Marie Antoinette de,1829,,surname_only,1,Reg0040910,"Bourbon, Marie Antoinette de (1829–?)"
Bournonville,August,1805,1879,exact,1,Reg0040930,"Bournonville, August (1805–1879)"
Bournonville,Augusta,1831,1906,exact,1,Reg0040940,"Bournonville, Augusta (1831–1906)"
Bournonville,Charlotte,1832,1911,exact,1,Reg0040960,"Bournonville, Charlotte (1832–1911)"
Bournonville,"Helene Frederikke, f. Håkans- son",1809,1895,exact,1,Reg0040990,"Bournonville, Helene, f. Håkansson (1809–1895)"
Bournonville,Vilhelmine,1833,1908,exact,1,Reg0041010,"Bournonville, Vilhelmine (1833–1908)"
Boye,Adolph Johannes,1825,1892,ambiguous,2,Reg0041040;Reg0041070,"Boye, Adolph Johannes (1825–1892) | Boye, Carl (1825–1892)"
Boye,Adolph Jonas,1823,1891,exact,1,Reg0041050,"Boye, Adolph Jonas (1823–1891)"
Boye,Caspar Johannes,1791,1853,exact,1,Reg0041080,"Boye, Caspar Johannes (1791–1853)"
Boye,Fr. Chr.,1815,1842,exact,1,Reg0041110,"Boye, Frederik Christian (1815–1842)"
Boye,Gottlieb,1819,1845,surname_only,2,Reg0041020;Reg0041190,"Boye, se også: Böie. | Boye, Peter Vilhelm (død 1842)"
Boye,"Maria, f. Birckner",1796,1880,ambiguous,2,Reg0041160;Reg0041170,"Boye, Maria, f. Birckner (1796–1880) | Boye, Mathias A. (1796–1872)"
Boye,Mathias A.,1796,1872,ambiguous,2,Reg0041160;Reg0041170,"Boye, Maria, f. Birckner (1796–1880) | Boye, Mathias A. (1796–1872)"
Boye,Sigismund,1835,1881,exact,1,Reg0041100,"Boye, Emilie Franzisca, f. Kiinitzer (1835–1916)"
Boye,"Sophie, f. West",1840,1895,exact,1,Reg0041200,"Boye, Sophie, f. West (1840–1895)"
Boye,Theodor,1821,1871,ambiguous,2,Reg0041130;Reg0041230,"Boye, Henriette (Jette) Sophie Dorothea (1821–1895) | Boye, Theodor (1821–1871)"
Boye,Vilhelm,1837,1896,exact,1,Reg0041240,"Boye, Vilhelm (1837–1896)"
N,"369,384, 387, 409. VI, 18. Bramsen, Georgine Nicoline",1811,1890,none,0,,
Bramsen,Lorents,1808,1880,exact,1,Reg0041440,"Bramsen, Lorentz (1808–1880)"
Bramsen,Vilhelmine,1813,1897,exact,1,Reg0041470,"Bramsen, Vilhelmine (1813–1897)"
Brandt,Andreas Heggelund,1846,1913,exact,1,Reg0041650,"Brandt, Andreas Heggelund (1846–1913)"
Brandt,Andreas Ludvig,1820,1882,ambiguous,2,Reg0041660;Reg0041700,"Brandt, Andreas Ludvig (1820–1882) | Brandt, Camilla Augusta, f. Bodenhoff (1820–1895)"
