seq,year_inferred,date_raw,text_da,section_label,source_file
74,1864,18.2.,Tyskerne går over Kongeåen.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
75,1864,9.3.,»Paa Langebro« (Casino).,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
76,1864,15.3.,Femerns erobring.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
77,1864,17.3.,Søtræfningen ved Swinemünde.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
78,1864,2.4.,Sønderborg bombarderes.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
79,1864,8.4.,Medunderskriver på Lausanne-adressen.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
80,1864,18.4.,Stormen på Dybbøl.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
81,1864,25.4.—25.6.,Londonkonferencen.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
82,1864,27.4.,»Han er ikke født« (Det kongelige Teater).,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
83,1864,9.5.,Søslaget ved Helgoland.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
84,1864,12.5.—25.6.,Våbenstilstand.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
85,1864,15.5.,Nordsøeskadrens ankomst til København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
86,1864,3.6.,Fra København til Basnæs.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
87,1864,3.6.—27.6.,Basnæs.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
88,1864,27.6.,Fra Basnæs til København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
89,1864,28.6.—2.7.,København.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
90,1864,29.6.,Als erobres.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
91,1864,2.7.—18.7.,Søllerød.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
92,1864,8.7.,Ministeriet Monrads afgang.,Tidstavle 1864-1865,hcadag06_009_IX.xhtml
93,1866,1.1.—12.1.,Basnæs.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
94,1866,12.1.,Fra Basnæs til København.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
95,1866,12.1.—31.1.,København. Hotel d'Angleterre.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
96,1866,31.1.—2.2.,Fra København over Korsør (overnatning31.1.) og Kolding (overnatning 1.2.) tilHamburg.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
97,1866,2.2.—4.2.,Hamburg.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
98,1866,4.2.—7.2.,"Fra Hamburg over Celle (overnatning 4.2.),Hannover (overnatning 5.2.) og Rheine(overnatning 6.2.) til Utrecht.",Tidstavle 1866-1867,hcadag07_009_IX.xhtml
