surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
lange	kun_min	PerXI04788	Lange	Kristian Konrad Sofus	1857		Søn af Thomas L., Patient 1874 paa Oringe Sindssygehospital ; lever 1880.	X:305					
lange	matchet_person_men_beskrivelse_afviger	PerXI04790	Lange	Ludvig Classen	1841	1883	Student, officersaspirant 1864, levede nogle Aar i Paris og døde i Marseille.	VII:348;VIII:66;VIII:67;VIII:68;VIII:69	Lange	Ludvig Classen	1841	1883	Student, officersaspirant 1864, levede nogle år i Paris og døde i Marseille.
lange	kun_xlsx								Lange				Broder til Overpræsident Michael L. (enten Generalkonsul i La Rochelle August Carl L. (f. 1792) eller Skibsreder, Kaptajn Frederik Wilhelm L. (f. 1795)), München 7.8.1855.
lange	kun_xlsx								Lange	Chr. Th. S.	1819	1879	Grosserer, cand. phil.
lange	kun_xlsx								Lange	Daniel	1815		Skræddermester, Odense (London 30.6.1847).
lange	kun_xlsx								Lange	Juliana Maria, f. Michaelsen	1799	1866	g. 1835 m. H.W.L.
lange	kun_xlsx								Lange	Kristian Konrad Sofus	1857		Søn af Thomas L., Patient 1874 på Oringe Sindssygehospital; lever 1880.
lassen	matchet_person_men_beskrivelse_afviger	PerXI04838	Lassen				Jfr., Søster til Fr.Chr.L., Sæby Præstegaard 1829.	III:388	Lassen	Jfr.			Søster til Fr.Chr.L., Sæby Præstegaard 1829.
lassen	kun_min	PerXI04839	Lassen				Knapmager fra Altona og hans Søn, Brussel 6.3.1843.	II:318					
lassen	matchet_person_men_beskrivelse_afviger	PerXI04841	Lassen				Elise Frederike (f. ca. 1842), Datter af Laur.Chr.Ludv.L.	VII:2	Lassen	Elise Frederike			Datter af Laur.Chr.Ludv.L.
lassen	kun_min	PerXI04842	Lassen	Emma Elsine Petrea, f. Allerup	1837		Søster til Fru Johanne English, g.1861 m. Købmand Heiman David Lassen.	VII:328					
lassen	matchet_person_men_beskrivelse_afviger	PerXI04846	Lassen	Lauritz Christian Ludvig	1804	1874	Sognepræst i Tjæreby 1862-71.	V:392;VI:177;VII:2	Lassen	Lauritz Christian Ludvig	1804	1874	Sognepræst i Tjæreby 1862–1871.
lassen	kun_min	PerXI04847	Lassen	Niels Frederik	1793	1865	Overauditør.	V:28;V:29					
lassen	matchet_person_men_beskrivelse_afviger	PerXI04848	Lassen	Rasmus	1827	1903	Søstersøn af W. Lind, stud.theol., Menig ved Livgarden 1850-51, senere Lærer.	IV:3	Lassen	Rasmus	1827	1903	Søstersøn af W. Lind, stud.theol., Menig ved Livgarden 1850–1851, senere Lærer.
lassen	matchet_person_men_beskrivelse_afviger	PerXI04849	Lassen				S. L., Fabrikant, Brussel 1866.	VII:67	Lassen	S. L.			Fabrikant, Brüssel 1866.
lassen	kun_xlsx								Lassen				Knapmager fra Altona og hans Søn, Briissel 6.3.1843.
lassen	kun_xlsx								Lassen	Emma Elsine Petrea, f. Allerup	1837		Søster til Fru Johanne English, g. 1861 m. Købmand Heiman David Lassen.
lefren	kun_min	PerXI04877	Lefrén	Johan Peter	1784	1862	svensk Generalløjtnant, 1860 General, var 1849 Vice-Præsident i Litteraturselskabet »Atheneum« i Stockholm.	III:308;III:309					
lente-adeler	kun_min	PerXI04923	Lente-Adeler	Theodor	1702	1767	Stiftamtmand, Gehejmeraad, Besidder af Lykkesholm.	II:291;II:292					
leon	kun_min	PerXI04931	Léon	Emilie & Virgile, Bayonne 25.4. 1866. VII 91. Leonardo da Vinci	1452	1519	italiensk Videnskabsmand og Kunstner.	I:43;I:208;I:209;I:224;I:231;I:276;I:384;I:433;II:79;II:86;V:65;V:107					
leon	kun_xlsx								Léon	Emilie & Virgile			Bayonne 25.4.1866.
leonrod	kun_min	PerXI04933	Leonrod	Karl, Friherre	1814	1905	bayrisk Generalløjtnant, Fløjadjudant hos Kong Maximilian II af Bayern.	IV:97;IV:98					
leuhusen	kun_min	PerXI04954	Leuhusen	Alexander Magnus, Friherre	1821	1903	svensk Oberst, Regimentschef i Jönköping, 1884 Generalmajor i Reserven.	IX:136;IX:137					
levison	kun_min	PerXI04971	Levison				dansk Turist i Venezia 3.6.1854.	IV:140					
levison	kun_min	PerXI04973	Levison	Pinæus	1792	1866	Silke- og Klædekræmmer, Grosserer. III 295-97. Levy (fra København), Rendsborg 6.6. 1860.	IV:372					
levison	kun_xlsx								Levison				jødisk Hotelgæst, Bremen 18.6.1844.
lewini	kun_min	PerXI04990	Lewini				Ida, Datter af W.L., Skuespillerinde ved Casino.	IX:16;IX:17					
lewini	kun_min	PerXI04991	Lewini	W. I. H.	1810	1887	Provinsteaterdirektør (Titchens Selskab), Skuespiller.	IX:16;IX:17					
lewinsky	kun_min	PerXI04992	Lewinsky	Josef	1835	1907	Skuespiller ved Burgtheater i Wien.	VIII:279;VIII:280;VIII:285;VIII:286					
lewy	matchet_person_men_beskrivelse_afviger	PerXI04994	Lewy	B.	1817	1863	Kemiker, arbejdede 1840-47 i Paris i J.B.Dumas' Laboratorium, 1847 Professor i Kemi i Bogota, Columbia, fra 1851 igen i Paris.	II:323;II:360;II:363	Lewy	B.	1817	1863	Kemiker, arbejdede 1840–1847 i Paris i J.B.Dumas’ Laboratorium, 1847 Professor i Kemi i Bogota, Columbia, fra 1851 igen i Paris.
lewy	kun_min	PerXI04995	Lewy	Gustav	1824	1901	Musikhandler, Wien.	VIII:275;VIII:276					
liitzau	kun_min	PerXI05237	Liitzau				Baronesse, Schlesien (Maxen 5.8. 1857).	IV:275					
liitzau	kun_min	PerXI05238	Liitzau	Augusta	1855	1932	Datter af F.G.L., g. 1881 m. Købmand i Slagelse E. Th. B. Ohmeyer.	IX:76;IX:77					
liitzau	kun_min	PerXI05239	Liitzau	Frederik Georg	1809	1891	kar. Oberst, Højstbefalende ved Korsør Søbatteri.	IX:76;IX:77					
liitzau	kun_min	PerXI05240	Liitzau	Hugo	1857	1932	Søn af F.G.L., senere Fabrikant.	IX:76;IX:77					
liitzau	kun_min	PerXI05241	Liitzau	Juliane, f. Borberg	1824	1903	g. 1853 m. F.G.L.	IX:76;IX:77					
liliencron	kun_min	PerXI05023	Liliencron	Ferdinand von, Rigsfriherre	1852		Søn af Roehus v.L.	IV:378					
liliencron	kun_min	PerXI05024	Liliencron	Hedwig von, Rigsfriherreinde	1854	1938	Datter af Roehus v. L., g. 1885 m. Overpræsident i Rhinprovinsen, Friherre Georg v. Rheinbaben	IV:377;IV:378					
liliencron	kun_xlsx								Liliencron	Ferdinand von, Rigsfriherre	1852		Søn af Roehus v.L.
liljeblad	kun_min	PerXI05027	Liljeblad	Bengt	1834	1882	teol.kand., Uppsala, 1872 Sognepræst i Norrköping, senere e.o. Hovpredikant og Kontraktsprovst.	VI:292;VI:293					
lindemann-frommel	kun_min	PerXI05053	Lindemann-Frommel	Karl	1819	1891	tysk Maler.	V:46					
linharas	kun_min	PerXI05066	Linharas	Rodrigo Domingos de Sousa Continho Teixeira de Andrade Barbon, Greve	1745	1812	byggede 1801-08 Kanalen til Aveiro.	VII:143;VII:144					
linnstrom	kun_min	PerXI05073	Linnström	Hj.	1836	1914	svensk Forlagsboghandler og Bibliograf, 1871-84 Indehaver af L. J. Hiertas Forlag, Stockholm.	X:429;X:430					
ljunggren	kun_min	PerXI05089	Ljunggren	Gustaf	1823	1905	Professor i Æstetik ved Lunds Universitet, Litteraturhistoriker.	VI:304;VI:305;VI:306;VI:307					
loen	kun_min	PerXI05097	Loen	Leopold von, Friherre	1817	1895	preussisk Infanterigeneral, senere Kejserens Generaladjudant, Dattersøn af Wilh. v. Humboldt.	IV:379;IV:380					
lorentz	kun_min	PerXI05120	Lorentz	Carl Diderik	1818	1868	Legationssekretær i Frankfurt 1853-57, 1857 Kontorchef i Guvernementet paa St. Croix, 1862 Prokurator, Kammerjunker.	IV:123;IV:124					
lorenzen	matchet_person_men_beskrivelse_afviger	PerXI05123	Lorenzen	C.	1807	1859	Adjunkt i Sorø 1831-44, senere Kontrollør ved den kgl. Centralkasse for Slesvig, Forfatter.	I:115;II:150	Lorenzen	C.	1807	1859	Adjunkt i Sorø 1831–1844, senere Kontrollør ved den kgl. Centralkasse for Slesvig, Forfatter.
lorenzen	kun_min	PerXI05124	Lorenzen	Lorenz	1795	1866	Sognepræst i Adelby 1829-50, Medlem af den slesvigske Stænderforsamling 1834- 46, af den slesvig-holstenske 1848-51, 1852 Stadtsuperintendent i Luneburg.	III:6;III:7					
lorenzen	kun_min	PerXI05125	Lorenzen				P. (død 1873), Inspektør paa Broholm, senere Ejer af Gaarden Kjølholt, Skibet S., Vejle Amt, Medlem af »Selskabet til Hesteavlens Fremme i de danske Provindser«.	II:446					
lorenzen	kun_xlsx								Lorenzen	P.		1873	Inspektør på Broholm, senere Ejer af Gaarden Kjølholt, Skibet S., Vejle Amt, Medlem af »Selskabet til Hesteavlens Fremme i de danske Provindser«.
lowenberg	kun_min	PerXI05141	Lowenberg	Rougemont de, parisisk Bankier-Firma. I 145. Lowsow (Lowtsow), Chr. von	1788	1870	kar. Ritmester.	II:447					
lowenberg	kun_xlsx								Löwenberg	Rougemont de			parisisk Bankier-Firma.
luttichau	kun_min	PerXI05228	Luttichau	Constant Arnold Ulysses	1847	1906	Elev paa Herlufsholm, Student 1867, senere Bygningsingeniør, Forpagter af Vingegaard, Hofjægermester.	VII:196;VII:197;VII:198					
luttichau	kun_min	PerXI05230	Luttichau	Idalia, f. Dirckinck Friherreinde af Holmberg	1808	1899	Enke efter Godsejer Hans Helmuth L. til Tjele.	IX:8;IX:9					
lutzow	kun_min	PerXI05246	Lutzow	Frederik Georg von	1809	1891	Premierløjtnant i Kavalleriet, Ritmester 1848, senere Oberst.	II:442;II:443					
lutzow	kun_min	PerXI05250	Lutzow	Klara von, Friherreinde, f. Friherreinde von Geymuller	1801	1872	g. 1820 m. Ludwig v. L.	III:20;III:21					
lutzow	matchet_person_men_beskrivelse_afviger	PerXI05251	Lutzow				Ludwig von, Friherre (1794 1871), Rejsemarskal ved Hoffet i Oldenburg.	III:17;III:20;III:21	Lützow	Ludwig von, Friherre			Rejsemarskal ved Hoffet i Oldenburg.
lutzow	matchet_person_men_beskrivelse_afviger	PerXI05253	Lützow	Ulla von	1831	1904	Datter af Ludwig v.L., g. 1855 m. Chlodewig von Sydow.	III:20	Lützow	Ulla von	1831	1904	Datter af Ludwig v.L., g. 1855 m. Ghlodewig von Sydow.
læssøe	kun_min	PerXI05258	Læssøe	Emy, f. Komtesse Krag-Juel- Vind-Frijs	1825	1863	Datter af Jens Chr. Carl Krag-Juel-Vind-Frijs, g. 1857 m. Thorald L.	V:403;V:404;V:419;V:420;X:301;X:302					
læssøe	matchet_person_men_beskrivelse_afviger	PerXI05260	Læssøe	Joseph	1814	1895	Søn af Signe L., Typograf, 1849-52 Bogtrykker i Nakskov og Udgiver af Nakskov Avis.	II:37	Læssøe	Joseph	1814	1895	Søn af Signe L., Typograf, 1849–1852 Bogtrykker i Nakskov og Udgiver af Nakskov Avis.
læssøe	matchet_person_men_beskrivelse_afviger	PerXI05264	Læssøe	Nanny (Agnete), f. Jerichau	1853	1897	Datter af J.A.J., g. 1873 m. Albert Frederik L. X 155. — Se ogsaa: Jerichau, Nanny. Læssøe, Niels Frederik (1869-?), Søn af Viggo L.	IX:298	Læssøe	Nanny (Agnete), f. Jerichau	1853	1897	Datter af J.A.J., g. 1873 m. Albert Frederik L.
læssøe	matchet_person_men_beskrivelse_afviger	PerXI05267	Læssøe	Viggo	1819	1905	Søn af Signe L., cand.theol., 1858 Sognepræst i Ølgod, 1869-94 i Svallerup.	III:425;V:311;IX:298	Læssøe	Viggo	1819	1905	Søn af Signe L., cand. theol., 1858 Sognepræst i Ølgod, 1869–1894 i Svallerup.
læssøe	kun_xlsx								Læssøe	Niels Frederik	1869		Søn af Viggo L.
lønborg	matchet_person_men_beskrivelse_afviger	PerXI05274	Lønborg	Anna Johanne (Hanne), f. Thiele	1833	1893	Datter af J.M.Thiele, g. 1855 m. C.J.F.L.	IV:369;IV:370;IV:371;IV:372;IV:378;IV:384;IV:407;IV:423;IV:449;V:132;V:189;V:438;VI:51;VI:206;VII:8;VII:214;VII:218;VIII:434;IX:58;X:24	Lønborg	Anna Johanne (Hanne), f. Thiele	1833	1893	Datter af J.M.Thiele, g. 1855 m. G.J.F.L.
lønborg	kun_min	PerXI05276	Lønborg				Frederikke (død 1904), Søster til C.J.F.L.	V:125;VII:219;VIII:396;IX:139;X:24;X:334;X:372					
lønborg	kun_min	PerXI05277	Lønborg	Sophie Kaufmann	1854	1938	Adoptivdatter af C.J.F.L.	IV:370;IV:371					
lønborg	kun_xlsx								Lønborg	Frederikke		1904	Søster til C.J.F.L.
løvenskiold	kun_min	PerXI05280	Løvenskiold				Baronesse, Passager paa Postskibet Skirner 16.5.1852.	IV:75					
løvenskiold	matchet_person_men_beskrivelse_afviger	PerXI05282	Løvenskiold	Carl Eggert Georg, Baron	1806	1884	cand.jur. 1832, Toldforvalter i Næstved 1862-78, Kammerherre 1867.	I:500;I:501;VII:225;VII:226;X:290	Løvenskiold	Carl Eggert Georg, Baron	1806	1884	cand. jur. 1832, Toldforvalter i Næstved 1862–1878, Kammerherre 1867.
løvenskiold	matchet_person_men_beskrivelse_afviger	PerXI05283	Løvenskiold	Carl Ludvig	1822	1898	Søn af Annette L., Hofmarskal 1859-68, Overhofmarskal 1881, Kammerherre, 1883 Gehejmekonferensraad.	V:126;V:148;V:427;V:437;V:441;V:444;V:445;V:450;VI:33;VI:34;VI:35;VI:36;VI:46;VI:101;VII:249;VIII:38;VIII:48	Løvenskiold	Carl Ludvig	1822	1898	Søn af Annette L., Hofmarskal 1859–1868, Overhofmarskal 1881, Kammerherre, 1883 Gehejmekonferensraad.
løvenskiold	matchet_person_men_beskrivelse_afviger	PerXI05284	Løvenskiold	Charlotta Eugénie Louise Augusta, f. Friherreinde Lagerheim	1828	1892	Datter af Elias Lagerheim, g. 1852 m. Carl Ludvig L. VIII 48. — Se ogsaa: Lagerheim, Charlotta. Løvenskiold, Eggert (Aga), Baron (1788- 1861), Overførster, Hofjægermester.	I:495	Løvenskiold	Gharlotta Eugénie Louise Augusta, f. Friherreinde Lagerheim	1828	1892	Datter af Elias Lagerheim, g. 1852 m. Garl Ludvig L.
løvenskiold	matchet_person_men_beskrivelse_afviger	PerXI05286	Løvenskiold	Franciska Veronika Johanne Josephine, f. Baronesse Seckendorf- Aberdar	1807	1873	Statsfrue hos Dronning Desideria af Sverrig-Norge, senere Overhofmesterinde hos Dronning Josefina, g. 1827 m. Ernst L.	II:64	Løvenskiold	Franciska Veronika Johanne Josephine, f. Baronesse Seckendorf-Aberdar	1807	1873	Statsfrue hos Dronning Desideria af Sverrig-Norge, senere Overhofmesterinde hos Dronning Josefina, g. 1827 m. Emst L.
løvenskiold	kun_min	PerXI05288	Løvenskiold	Jenny, Baronesse	1845	1923	Datter af Carl Eggert Georg L., g. 1868 m. Kammerjunker Victor Eugen von Ellbrecht.	VII:225;VII:226					
løvenskiold	matchet_person_men_beskrivelse_afviger	PerXI05289	Løvenskiold	Leopold Herman Severin	1813	1848	norsk Frivillig, Sekondløjtnant ved 10. Linie-Bataillon, dødeligt saaret ved Stenderup 5.6.1848.	III:286	Løvenskiold	Leopold Herman Severin	1813	1848	Norsk Frivillig, Sekondløjtnant ved 10. Linie-Bataillon, dødeligt såret ved Stenderup 5.6.1848.
løvenskiold	kun_min	PerXI05292	Løvenskiold	Sophie, Baronesse, f. Løvenskiold	1811	1890	Datter af Annette L., g. 1844 m. Carl Eggert Georg L.	VII:225;VII:226					
løvenskiold	kun_xlsx								Løvenskiold				Baronesse, Passager på Postskibet Skirner 16.5.1852.
løvenskiold	kun_xlsx								Løvenskiold	Eggert (Aga), Baron	1788	1861	Overførster, Hofjægermester.
maase	matchet_person_men_beskrivelse_afviger	PerXI05309	Maase	Caroline von der	1827	1886	Datter af Frederik v. d. M., g. 1851 m. Frederik Moltke (1825-75). IV 29. — Se ogsaa: Moltke, Caroline. Maase, Caroline Amalie von der, f. Komtesse Holck-Winterfeldt (1842-1914), Datter af Gustav Holck-Winterfeldt, g. 1872 m. Chr. v. d. M. X. 286. Maase, Christian von der (1831-93), Søn af Frederik v. d. M., Sekondløjtnant i Kavalleriet, 1860 Premierløjtnant, 1868 Ritmester, 1874 Adjudant hos Kongen, 1877 Oberst, Afsked 1891 med Generalmajors Karakter, 1ste Staldmester hos Kongen og Chef for Staldetaten.	III:403;X:286;X:312;X:314	Maase	Caroline von der	1827	1886	Datter af Frederik v. d. M., g. 1851 m. Frederik Moltke (1825–1875).
maase	kun_min	PerXI05311	Maase	Frederik von der	1825	1905	Søn af Fr. v. d. M. (1800-66), Attaché ved det danske Gesandtskab i Berlin, 1856-67 Legationssekretær i Stockholm, 1867 Kammerherre, Besidder af Anholt.	IV:158;IV:159					
maase	matchet_person_men_beskrivelse_afviger	PerXI05312	Maase	Olivia von der, f. Colbiørnsen	1795	1877	Datter af Engelke Colbiørnsen, g. 1825 m. Frederik v. d. M. (1800-66).	I:32;I:37;I:38;III:45;III:232;III:249;IX:224;IX:378;X:212;X:244;X:246;X:268;X:285;X:286;X:313;X:330;X:331;X:333	Maase	Olivia von der, f. Colbiørnsen	1795	1877	Datter af Engelke Colbiørnsen, g. 1825 m. Frederik v. d. M. (1800–1866).
maase	kun_xlsx								Maase	Caroline Amalie von der, f. Komtesse Holck-Winterfeldt	1842	1914	Datter af Gustav Holck-Winterfeldt, g. 1872 m. Chr.v. d. M.
maase	kun_xlsx								Maase	Christian von der	1831	1893	Søn af Frederik v. d. M., Sekondløjtnant i Kavalleriet, 1860 Premierløjtnant, 1868 Ritmester, 1874 Adjudant hos Kongen, 1877 Oberst, Afsked 1891 med Generalmajors Karakter, 1ste Staldmester hos Kongen og Chef for Staldetaten.
machado de castro	kun_min	PerXI05316	Machado de Castro	Joaquim	1732	1822	portugisisk Billedhugger.	VII:117					
maltitz	matchet_person_men_beskrivelse_afviger	PerXI05366	Maltitz				Fru von, læs. Maltitz, Fru von, Amerikanerinde, g.m. Franz v. M.	III:199	Maltitz	Fru von			Amerikanerinde, g.m. Franz v. M.
maltitz	kun_min	PerXI05369	Maltitz	Franz von, Friherre	1794	1857	Broder til Apollonius v. M., russisk Gesandt i Haag, tysk Digter.	III:198;III:199;III:200;III:201					
mannerheim	kun_min	PerXI05382	Mannerheim	A. R., Friherre	1802	1867	Kaptajn ved Skaraborgs Regiment, senere Oberstløjtnant, Bankdirektør, Mariestad.	III:365;III:366;III:367					
mau	kun_min	PerXI05497	Mau	Gerhard Wilhelm	1774	1858	Postmester i Skelskør 1806-57, Apoteker sst.	IV:199;IV:200					
meinert	kun_min	PerXI05523	Meinert	Marie	1826	1900	Kusine til A.E.M.Tang, Lærerinde ved Enkedronning Caroline Amalies Asylskole.	IV:338;IV:339					
menzel	kun_min	PerXI05598	Menzel	Wolfgang	1798	1873	tysk Forfatter.	IV:175;IV:176					
miaulis	kun_min	PerXI05654	Miaulis	Andreas	1770	1835	græsk Frihedskæmper og Søhelt.	II:162;II:163					
michelsen	kun_min	PerXI05663	Michelsen				Koffardikaptajn, Bordeaux 26.8.1866.	VII:176;VII:177					
michelsen	kun_min	PerXI05671	Michelsen	Marie, f. Duntzfelt	1819	1871	Datter af W. F. Duntzfelt, g.1856 m. O.W.M.	V:101;V:102					
michelsen	matchet_person_men_beskrivelse_afviger	PerXI05672	Michelsen	Ove Wilhelm	1800	1880	Kaptajn i Søetaten, 1850 Kommandørkaptajn, 1852 Kommandør, Marineminister 1854-59, Kammerherre 1855, kar. Kontreadmiral 1859.	II:381;II:389;VIII:108	Michelsen	Ove Wilhelm	1800	1880	Kaptajn i Søetaten, 1850 Kommandørkaptajn, 1852 Kommandør, Marineminister 1854–1859, Kammerherre 1855, kar. Kontreadmiral 1859.
moltke	kun_min	PerXI05727	Moltke				(1869, ikke nærmere angivet).	VIII:253					
moltke	matchet_person_men_beskrivelse_afviger	PerXI05728	Moltke				Komtesse, Basnæs 9.5.1856.	IV:198	Moltke	Komtesse			Basnæs 9.5.1856.
moltke	kun_min	PerXI05729	Moltke	Komtesse, Broderdatter af Peter M. (enten Elisabeth	1825	1897	eller Sophie (1837-91)).	VIII:326					
moltke	matchet_person_men_beskrivelse_afviger	PerXI05731	Moltke	Adam Gottlob, Greve	1792	1868	Administrator ved det københavnske Tallotteri (»Lotto-Moltke«), Kammerherre, Ejer af Lyngebæksgaard, Karlebo S.	III:279;IV:32;IV:34;VI:174	Moltke	Adam Gottlob, Greve	1792	1868	Administrator ved det københavnske T allotteri (»Lotto-Moltke«), Kammerherre, Ejer af Lyngebæksgaard, Karlebo S.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05732	Moltke	Adam Gottlob, Greve	1798	1863	Søn af Otto Joachim M., Landog Søkrigskommissær i Itzehoe, 1847 Generalkrigskommissær i Odense, 1853 Besidder af Espe og Bonderup. II 380 387 388. III 183 384 414. IV 33 201 236 293 463. V 131. VI 73. Moltke (-Nutschau), Adam Henrik Carl, Greve (1828-1913), Søn af Carl M., senere Major og Kammerherre.	II:279	Moltke	Adam Gottlob, Greve	1798	1863	Søn af Otto Joachim M., Land- og Søkrigskommissær i Itzehoe, 1847 Generalkrigskommissær i Odense, 1853 Besidder af Espe og Bonderup.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05733	Moltke	Adam Wilhelm, Lensgreve	1785	1864	Besidder af Grevskabet Bregentved, 1831 Finansminister og Gehejmestatsminister, 1848-52 Konsejispræsident.	II:276;II:277;II:279;II:280;II:281;II:285;II:428;VI:17;VI:174;VIII:345;X:279	Moltke	Adam Wilhelm, Lensgreve	1785	1864	Besidder af Grevskabet Bregentved, 1831 Finansminister og Gehejmestatsminister, 1848–1852 Konsej Ispræsident.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05734	Moltke	Amalie (Amy), Grevinde, f. Komtesse Danneskiold-Samsøe	1843	1876	g. 1865 m. Christian M.(-Lystrup). VII 274. X 284 288. — Se ogsaa: Danneskiold-Samsøe, Amalie. Moltke (-Nutschau), Anna, Komtesse (1834-90), Datter af Carl M.(-N), g. 1855 m. Baron Herman Bagge af Boo.	IV:75;IV:76	Moltke	Amalie (Amy), Grevinde, f. Komtesse Danneskiold-Samsøe	1843	1876	g. 1865 m. Christian M. (-Lystrup).
moltke	kun_min	PerXI05735	Moltke	Asta, Komtesse	1858	1866	Datter af Ernst M.	VI:108;VI:109					
moltke	matchet_person_men_beskrivelse_afviger	PerXI05736	Moltke	Augusta, Komtesse	1820	1901	Datter af Ludvig M., Hofdame hos Arveprinsesse Caroline, Hofstiftsdame paa Vallø.	X:282	Moltke	Augusta, Komtesse	1820	1901	Datter af Ludvig M., Hofdame hos Arveprinsesse Caroline, Hof stiftsdame på Vallø.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05739	Moltke	Carl, Greve	1798	1866	Besidder af Nutschau og Assiden, Præsident for det slesvig-holsten-lauenburgske Kancelli 1846, Gehejmestatsminister 1848, Minister for Slesvig 1852-54, Minister uden Portefeuille 1864-65, Gehejmekonferensraad 1848.	II:281;II:283;III:294;V:29;VI:85;X:478	Moltke	Carl, Greve	1798	1866	Besidder af Nütschau og Assiden, Præsident for det slesvig-holsten-lauenburgske Kancelli 1846, Gehejmestatsminister 1848, Minister for Slesvig 1852–1854, Minister uden Portefeuille 1864–1865, Gehejmekonferensraad 1848.
moltke	kun_min	PerXI05740	Moltke	Carl, Greve	1856	1886	Søn af Ernst M.	VI:108;VI:109					
moltke	matchet_person_men_beskrivelse_afviger	PerXI05741	Moltke	Carl Emil, Greve	1773	1858	Søn af Adam Gottlob M. (1710-92), tidligere Gesandt i London, Ordenssekretær, Stænderdeputeret 1835-46, Gehejmekonferensraad og Kammerherre, Besidder af Aagaard og Nørager.	III:286;III:409;III:412;IV:39;IV:43	Moltke	Carl Emil, Greve	1773	1858	Søn af Adam Gottlob M. (1710–1792), tidligere Gesandt i London, Ordenssekretær, Stænderdeputeret 1835–1846, Gehejmekonferensraad og Kammerherre, Besidder af Aagaard og Nørager.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05742	Moltke	Caroline, Lensgrevinde, f. von der Maase	1827	1886	Datter af Frederik v.d.Maase, g. 1851 m. Frederik M. VIII 355. IX 222. X 212 217 244 268 279-80 283 285-86 288 290 295- 96 300 308 320 326 330 340 368 372 373-74 377 462 466 468 471 477 479. — Se ogsaa: Maase, Caroline v.d. Moltke, Catharine Margrethe Dorothea, f. Colding (1792-1873), Enke efter Julius M.	III:414;III:420	Moltke	Caroline, Lensgrevinde, f. von der Maase	1827	1886	Datter af Frederik v.d.Maase, g. 1851 m. Frederik M.
moltke	kun_min	PerXI05743	Moltke	Charlotte Sophie Dorothea, Komtesse	1836	1908	Datter af Adam Gottlob M. (1798-1863), Konventualinde i St. Johannes Kloster, Slesvig. IX 70-72. Moltke (-Lystrup), Christian, Greve (1833-1918), Søn af A.W.M., cand. polit. 1856, 1856-59 Attaché ved det danske Gesandtskab i London, Besidder af Lystrup og Jomfruens Egede, Landstingsmand 1875-1917, Kammerherre 1865, Gehejmekonferensraad 1911.	II:275;IV:246;IV:264;VI:328;VI:330;VII:274;X:284					
moltke	matchet_person_men_beskrivelse_afviger	PerXI05744	Moltke	Christian, Greve	1864	1888	Søn af Fr.M. (1825-75), senere Sekondløjtnant i Søetaten.	X:212;X:268;X:279;X:283;X:285;X:286;X:287;X:295;X:296;X:399	Moltke	Christian, Greve	1864	1888	Søn af Fr.M. (1825–1875), senere Sekondløjtnant i Søetaten.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05745	Moltke	Erik, Greve	1868	1952	Søn af Fr.M. (1825-75), senere cand. phil.	X:268;X:279;X:280;X:282;X:283;X:284;X:285;X:287;X:296;X:377;X:399;X:421	Moltke	Erik, Greve	1868	1952	Søn af Fr.M. (1825–1875), senere cand. phil.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05747	Moltke	F. J. von	1799	1874	Postmester i Aabenraa, 1853-64 i Flensborg, Kammerherre 1856.	IV:78;IV:461	Moltke	F. J. von	1799	1874	Postmester i Aabenraa, 1853–1864 i Flensborg, Kammerherre 1856.
moltke	matchet_person_men_beskrivelse_afviger	PerXI05749	Moltke	Frederik (Fritz), Greve	1825	1875	Søn af A.W.M., Student 1842, 1848 Volontør i Udenrigsministeriet, 1850-55 Attaché ved det danske Gesandtskab i London, 1864 Lensgreve og Besidder af Grevskabet Bregentved, 1875 Udenrigsminister.	II:271;II:274;II:275;II:291;II:299;II:324;II:366;III:294;IV:29;IV:30;VI:79;VII:216;VIII:345;VIII:350;VIII:355;IX:41;IX:46;IX:222;IX:224;IX:227;IX:296;X:47;X:212;X:213;X:217;X:218;X:219;X:224;X:244;X:266;X:268;X:274;X:279;X:283;X:285;X:286;X:287;X:288;X:290;X:295;X:296;X:300;X:304;X:308;X:313;X:340;X:372;X:392;X:393;X:399;X:412;X:415;X:432;X:462;X:469	Moltke	Frederik (Fritz), Greve	1825	1875	Søn af A.W.M., Student 1842, 1848 Volontør i Udenrigsministeriet, 1850–1855 Attaché ved det danske Gesandtskab i London, 1864 Lensgreve og Besidder af Grevskabet Bregentved, 1875 Udenrigsminister.
