surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
bang	matchet_person_men_beskrivelse_afviger	PerXI00401	Bang	Emma	1811	1882	Datter af Claus Chr. B., g. 1839 m. Skibsreder N. P. Butenschon, Goteborg. I 119. — Se ogsaa: Butenschon, Emma. Bang, F. S. (1810-89), ansat hos C. J. Hambro og Søn 1830-57, heraf 1843- 57 i Firmaet i London, 1857 Overbogholder i Privatbanken, 1859 Hovedkasserer sst., Kunstsamler, Justitsraad 1861, Etatsraad 1887.	III:207;III:234;III:245;III:273;IV:48	Bang	Emma	1811	1882	Datter af Claus Chr. B., g. 1839 m. Skibsreder N. P. Butenschön, Göteborg.
bang	kun_xlsx								Bang				Kandidat, Søllerød 14.8.1865.
bang	kun_xlsx								Bang	de, Frøken			(enten Henriette Marie (1809–1855) eller Augusta Christine (1805–1887)), Kusine til Fritz von Eggers.
bang	kun_xlsx								Bang	Caroline Amalie, f. Ibsen	1815	1893	g. 1842 m. F. S.B.
bang	kun_xlsx								Bang	Chr. Asmus		1888	Skibsfører.
bang	kun_xlsx								Bang	F. S.	1810	1889	Ansat hos C. J. Hambro og Søn 1830–1857, heraf 1843–1857 i Firmaet i London, 1857 Overbogholder i Privatbanken, 1859 Hovedkasserer sst., Kunstsamler, Justitsraad 1861, Etatsraad 1887.
banks	kun_min	PerXI00411	Banks	George Linnæus	1821	1881	engelsk Forfatter, Sekretær for The National Shakespeare Committee.	V:401;V:402					
barck	kun_min	PerXI00421	Barck	Lovisa, Komtesse	1817	1900	Datter af N.A.B.	II:35;II:36					
barck	kun_min	PerXI00423	Barck	Mathilda, Komtesse	1822	1844	Datter af N.A.B.	II:35;II:36					
barnekow	kun_min	PerXI00447	Barnekow	Adolf Gabriel, Greve	1838	1924	Attaché 1869-72 ved det svenske Generalkonsulat i København, senere sv. Konsul, bl.a. i Rom, og Godsejer.	IX:30;IX:31					
barnekow	kun_min	PerXI00448	Barnekow	Christian	1837	1913	Komponist, tit. Professor 1891.	X:393;X:394					
bartholin	kun_min	PerXI00458	Bartholin				Berlin-Lübeck 24.-27.7.1834.	I:506;I:507;I:508;I:509					
