kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI04157	Huygens, Maria Winfrieda (Blanche)	Huygens, Maria Winfrieda (Blanche) (1812–1904)	Hofdame hos Landgrevinde Charlotte af Hessen-Kassel, Hofstiftsdame i Vallø.	IV:127;X:289
name_differs	PerXI04172	Hübsch von Grossthal, Kasimir, Baron	Hübsch von Grossthai, Kasimir, Baron (1791–1865)	Dansk Ministerresident og Generalkonsul i Konstantinopel, Kammerherre.	II:186;II:193;II:196;II:198;II:205;II:208;II:210
name_differs	PerXI04238	Insinger, J. H., Direktør for Nederlandske Bank, Amsterdam. VII 47 54. X 133. loannou, Filippos	Ioannou, Filippos (1796–1880)	Professor i Æstetik ved Universitetet i Athen, Oversætter og Digter.	II:171;II:175
name_differs	PerXI04264	Jacob, Frk., Søsterdatter af Moritz Melchior, i Huset hos Henriette og Moses Melchior (enten Pauline	Jacob, Frk.	Søsterdatter af Moritz Melchior, i Huset hos Henriette og Moses Melchior (enten Pauline (1829–1919) eller Rose J. (1834–1919)).	IX:320;X:201
name_differs	PerXI04286	Jacobsen, Thora	Jaell, Alfred (1832–1882)	Østrigsk Klavervirtuos og Komponist.	VIII:133;VIII:298
name_differs	PerXI04310	Jensen, Frk., der skriver Eventyr	Jensen, Frk.	Der skriver Eventyr (1873).	X:53;X:61
name_differs	PerXI04314	Jensen, Bernth	Jensen, Bemth (1803–1879)	cand. theol. 1828, Adjunkt ved Metropolitanskolen 1833, Overlærer 1858, Afsked og tit. Professor 1867.	IV:344;VI:105;VI:258
name_differs	PerXI04387	Jonas, se: Collin, Jonas d. Y. Jonas, Emil	Jonas, Emil (1824–1912)	Tysk Litterat og Oversætter, 1852–1854 Assistent i Revisionskontoret for Ministerierne for Holsten og Lauenburg, virkelig Kammerraad 1854, flyttet 1867 til Berlin.	IV:158;X:329
name_differs	PerXI04423	Jurgensen, Blanche	Jurgensen, Caroline Christiane, f. Borch (1817–1867)	g.m. N.J.J.	V:336;VII:85;VII:175
name_differs	PerXI04497	Kalkbrenner, Friedrich	Kalkbrenner, F riedrich (1788–1849)	tysk-fransk Klavervirtuos og Komponist.	II:351;II:358
