kind	reference_name	reference_desc	reference_refs
candidate_missing	Castlereagh, Elisabeth Frances Charlotte, Lady, f. Jocelyn (død 1884)	Enke efter Viscount Richard of Powerscourt, g. 1846 m. Frederick William Robert Stewart G.	III:219
candidate_missing	Gastrén	(Navnet misforstået?).	II:398
candidate_missing	Gaubet	Fransk Operasanger, Amsterdam 20.2.1866.	VII:40
candidate_missing	Gaus, Salomon de (1576–ca. 1630)	Fransk Ingeniør.	IV:150
candidate_missing	Cazalis, Gustave	Søn af William G.	III:153–154
candidate_missing	Gazin	Svigerfader til Chr. A. Benzon.	II:314
candidate_missing	Gederfeld de Simonsen, Carl (1782–1853)	Borgmester i Kalundborg, Justitsraad.	II:258–259
candidate_missing	Cerrito, Francesca (Fanny) (1817–1909)	Italiensk Balletdanserinde, g. 1845 m. Arthur Saint-Léon, Ægteskabet opløst 1851.	III:238
candidate_missing	Chambord, Henri, Greve af – (1820–1883)	Søn af Hertug Charles Ferdinand af Berry, fransk Tronprætendent.	I:489
candidate_missing	Chlodvig (Chlodovech) (ca. 466–511)	Frankerrigets Grundlægger, Konge 481.	II:54
candidate_missing	Chosrew Pasha	tyrkisk Guvernør i Belgrad (1841).	II:230
candidate_missing	Christensen, Madam	Moder til Musikeren C.	X:386–387;X:388
candidate_missing	Christensen, Dagmar	Datter af C.Th.C.	VIII:370
candidate_missing	Christensen, Mathilde (Illa.) (1851–1922)	Datter af Harald G., Forfatterinde (F. C. van der Burgh).	X:80;X:82–83;X:196
candidate_missing	Christian & Cocelles	Bankfirma, Wien.	I:478
candidate_missing	Christmas-Dirckinck-Holmfeld, Tusky, f. FriherreindeDirckinck-Holmfeld (1839–1924)	Datter af Constant Dirckinck-Holmfeld, g. 1859 m. senere Oberstløjtnant, Kammerherre og Hofjægermester Walter Edmund C.-D.-H.	VIII:85
candidate_missing	Claudi, G. B. (1799–1880)	Stifter af Redningsvæsenet på Jyllands Vestkyst, konstitueret Inspektør for Redningsvæsenet 1852–1869, Sandflugtskommissær, Translatør i Engelsk og Tysk i Ribe Amt, Justitsraad.	IV:342
candidate_missing	Clausen, Hans A. (død 1891, 85 år gl.)	Agent, græsk Generalkonsul, senere Grosserer og Etatsraad.	VIII:198
candidate_missing	Clausen-Schiitz, Christian Ludwig	Over- og Landsretsadvokat i Wandsbeck.	III:147;III:149–150;III:240;III:242;III:245
candidate_missing	Clemens III (død 1191)	Pave 1187.	I:402
candidate_missing	Clemens VIII (1536–1605)	Pave 1592.	I:304
candidate_missing	Clemens XII (1652–1740)	Pave 1730.	III:83
candidate_missing	Clemens XIII (1693–1769)	Pave 1758.	I:393
candidate_missing	Clemens XIV (1705–1774)	Pave 1769.	II:88
candidate_missing	Glevermann	Fransk Tryllekunstner, Paris 13.2.1870.	VIII:332
candidate_missing	Codes, Publius Horatius (ca. 500 f. Chr.)	romersk Helt.	I:219
candidate_missing	Gohen, den unge	Maxen 29.7.1861.	V:107
candidate_missing	Colbiørnsen, Angelique Wigan tine (1798–1862)	Datter af Engelke C., Hofdame hos Arveprinsesse Caroline.	I:32
candidate_missing	Colchrane, Charles (død 1855, 48 år gl.)	Engelsk Forfatter, Parlamentskandidat i Westminster ved Valget 1847.	III:237
candidate_missing	Colditz, Frøken	Datter af H.F.C.C.	II:425
candidate_missing	Collin, Hjalmar (1834–1897)	Son af Gottlieb C., Student 1852, cand. phil., Landmand, senere Journalist.	IV:198–199;IV:323;IV:363;IV:364;IV:365–366;V:5;V:141;V:756;VI:245;VII:339;VIII:759;VIII:164;VIII:408;IX:165;IX:180;IX:383
candidate_missing	Collin, Ingeborg Mimi (Vulle) (1837–1843)	Datter af Edvard C.	II:308
candidate_missing	Golloredo-Mansfeld, Hieronymus, Greve (1775–1822)	Østrigsk Felttøjmester.	I:496–497
candidate_missing	Cornelius, Gertruda von, f. Fervatini (død 1859)	g. 1835 m. Peter von G.	II:63
candidate_missing	Cranach. Barbara, f. Brengbier (død 1540)	g. 1505 m. Lucas C. d.Æ.	II:55–56
candidate_missing	Crowquill, Alfred (Pseudonym for Alfred Henry Forrester) (1804–1872)	Engelsk Digter, Tegner og Illustrator.	III:243
candidate_missing	Crusenstiema	Fører af Dampskibet Eric Nordwall, Gôta Kanal 1849.	III:375
