RegistryTitle	29_entityType	30_evidenceLevel	31_evidenceMarkers
Madsen, Caroline, g.m. Frederik M.	crossReference		
Mallet frères	organisation		
Mandelstern	crossReference		
Manderstern	crossReference		
Manhem, A. M. W.	crossReference		
Mansfeld, Coleredo	crossReference		
Manthey	group		
Marc-Monnier	crossReference		
Le Maréchal ferrant d'Anvers	crossReference		
Margoldt, Louise von, Datter af Henriette von M. II 409. Margrethe (Margaretha), Selskabsdame hos Fru Serre (1823–1865)	crossReference		
Maria, Glorup 1850	crossReference		
Marie (f. 1825)	crossReference		
Marie	crossReference		
Marie, Broderdatter af Fru Vilhelmine Sophie Ingerslev, f. Barfred	crossReference		
Marie, to Tjenestepiger hos Frøknerne Ballin	crossReference		
Marietta, Sibonis Nièce	crossReference		
Martinho, Carlos O'Neills Nabo i Setubal	crossReference		
Mathiesen, Lars	crossReference		
Mathilde	crossReference		
Mayer, Balthasar	legendary		
Meiringen	crossReference		
Melchior, Familien	family		
Melchior, Mine	crossReference		
Mercken	crossReference		
Meynig	crossReference		
Mikkelsen	crossReference		
Mine (f. 1825)	crossReference		
Miss	crossReference		
Moltke	crossReference		
Moltke, Gebhard, fra 1843: Moltke- Hvitfeldt	crossReference		
Morgenstjerne	crossReference		
Mortensen, i det vestlige Amerika	crossReference		
Moster (f. 1825)	crossReference		
Mpotsares, Markos	crossReference		
Müller	crossReference		
Müller (f. 1833)	crossReference		
Münster	crossReference		
Møller, Jomfru (f. 1861)	crossReference		
Møller, Minna	crossReference		
Napoléon II	crossReference		
Nathan	crossReference		
Nathan-David	crossReference		
Neergaard	group		
Nora	crossReference		
Norge, Haakon VII, Konge af -	crossReference		
Norman, Wilhelmine, f. Neruda	crossReference		
Notte, Gherardo della (Gerhard Honthorst), hollandsk Maler (1590–1656)	crossReference		
Odescalchi, Familien	family		
Odier, Lambert, Bankier-Firma i Geneve	crossReference		
O'Neill, Familien	family		
Orange, Madam	crossReference		
Orvar Odd	crossReference		
Otto	crossReference		
Passadori, Signora	crossReference		
Pedersen	crossReference		
Peppo	crossReference		
Perle, Cora	crossReference		
Peter, Storhertug	crossReference		
Petersen	crossReference		
Petersen, Skuespiller 1867	crossReference		
Petzholdt	crossReference		
Phidias	crossReference		
Philippo	crossReference		
Piccolomini, Æneas Silvius	crossReference		
Pius III	crossReference		
Pless	crossReference		
Plessen	crossReference		
Plesz	crossReference		
Poul	crossReference		
Poulsen	crossReference		
Poulsen	family		
Price, Familien	family		
Puget	crossReference		
Qvoten, Salomon von , Teaterentreprenør, Tandmedikus. I 176. R. R. (1690–1750)	crossReference		
Raben	crossReference		
Ragvald Knaphofde	crossReference		
Ramler	crossReference		
Raphael, Clara	crossReference		
Ratcliff	family		
Razzi, Antonio	crossReference		
Retzius	crossReference		
Riborg	crossReference		
Rigmor	crossReference		
Rita	crossReference		
Rodes, Sorø	crossReference		
Rolander	crossReference		
Romano, Giulio	crossReference		
Rosenkilde, Rose	crossReference		
Rosenkrantz, Iver, Søn af Iver R.	crossReference		
Rosenvinge, Karen Marie, HCA.s Halvsøster	crossReference		
Rosenørn, Frk., Hofdame	crossReference		
Rothe	crossReference		
Rougemont de Lowenberg	organisation		
Roulund	crossReference		
Rupert	crossReference		
Rødmose, Frk.	crossReference		
Rønne, Plejedatter af M.C.R.	crossReference		
Rønnenkamp	crossReference		
Roepstorff	crossReference		
Salaino	crossReference		
Salomonsen	crossReference		
Savoli	family		
Sayn-Wittgenstein	group		
Schack	crossReference		
Scheel-Plessen	crossReference		
Scheltema, Carel Steven Adama van	crossReference		
Schepelern	group		
Schiern, unge Fru —	crossReference		
Schilden	crossReference		
Schlichtkrull	family		
Schmidt, Teaterdirektør	crossReference		
Schöffel	crossReference		
Schou	crossReference		
Schow	crossReference		
Schram	crossReference		
Schubert	crossReference		
Scopas	crossReference		
Sehestedt Juul	crossReference		
Seidel	crossReference		
Seidelin	crossReference		
Sidse	crossReference		
Sigmaringen	crossReference		
Skau	crossReference		
Skibsted	family		
Skou	crossReference		
Skovgaard	crossReference		
Skram, Erik, Søn af Gustav Schram, Rigsdagsstenograf 1872, Protokolsekretær 1894-1918, Forfatter. X 220. Skram (Schram), Gustav (1847–1923)	crossReference		
Slesvig-Holsten-Sonderborg-Glücksborg	crossReference		
Soldi, David	crossReference		
Sophie	crossReference		
Sophie, Pige hos Ingemanns	crossReference		
Spadilla, Maria	crossReference		
Staahl, Søn af Daniel S., hjempermitteret fra Krigen, Roskilde 21.8.1864	crossReference		
Stair, Familien	family		
Steffens	crossReference		
Stella	crossReference		
Stenbock, Katarina	crossReference		
Sternberg, A. v.	crossReference		
Streits Hotel, Hamburg	organisation		
Sture, Sten	crossReference		
Svane, Familien	family		
Svendsen	crossReference		
Talis Qualis	crossReference		
Temerin, se: Szécses von Temerin. ten Kate	crossReference		
Texin, Constance	crossReference		
Thea	crossReference		
Theophrastus Bombastus	crossReference		
Therese	crossReference		
Thor	crossReference		
Thora	crossReference		
Thurah	family		
Tiedemann	crossReference		
Tine	crossReference		
Tott	crossReference		
Toulou	crossReference		
Trampe	crossReference		
Trampe, Greve, Fredericia 1849	crossReference		
Treibien, vist: Dreibein, se denne. Trémolières, Pierre (1703–1739)	crossReferenceMalformed		
Trolle, Familien	family		
Turn	crossReference		
Tuxen, Familien	family		
Tybjerg	crossReference		
Ussing	crossReference		
Vartel	crossReference		
Vasa, Gustaf	crossReference		
Victoria, Dronning	crossReference		
Viggo	crossReference		
Vilhelmina	crossReference		
Vilhelmine, Hertuginde	crossReference		
Vincenza, Volpi, Biblioteca Medicea Laurenziana, Firenze	crossReference		
Vithauer	crossReference		
Waldemar	crossReference		
Wallerstoff	crossReference		
Waloucoff, Maria von, f. Friherreinde von Schoultz-Asseraden	crossReference		
Walterstorff, Valentine von	crossReference		
Wedel	crossReference		
Wehler, Professor i Gottingen	crossReference		
Weiher und Nimptsch	group		
Weimar	crossReference		
Wieusseux	crossReference		
Wilhelm I, Kurfyrste	crossReference		
Wilhelm, Prins (1816–1893)	crossReference		
Wilken	crossReference		
Wind	crossReference		
Wittgenstein	crossReference		
Witzthun	crossReference		
Wolkonsky, Fyrstinde	crossReference		
Wulff	crossReference		
Wurtzen	crossReference		
Wørishøffer, J. A. P. F., Oberst i Infanteriet, 1864 Generalmajor, 1874 Generalløjtnant. V 127. X. Xenophon (ca. 430-ca. 355 f.Chr.), græsk Historiker. I 49. Xerxes (død 465 f.Chr.), Konge i Persien 485-65. IV 386. Y. Yael (1804–1892)	crossReference		
Yoldis Datter	crossReference		
Zick	crossReference		
Zytphen-Schulin	crossReference		
Östergötland	crossReference		
Oesterling	crossReference		
- Hans Broder fra Amerika	relationalPlaceholder		
- Hans Søster	relationalPlaceholder		
