person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP08189,Reg0110890,exact_name,"Scavenius, Christiane, f. Komtesse Scheel","Scavenius, Christiane, f. Komtesse Scheel (1855–1934)",1,
HCAP08190,Reg0110910,exact_name,"Scavenius, Elisabeth","Scavenius, Elisabeth (1840–1920)",1,
HCAP08191,Reg0110930,exact_name,"Scavenius, Henriette, f. Komtesse Moltke","Scavenius, Henriette, f. Komtesse Moltke (1819–1898)",1,
HCAP08192,Reg0110940,exact_name,"Scavenius, Jacob","Scavenius, Jacob (1838–1915)",10,
HCAP08193,Reg0110950,name_and_signature,"Scavenius, Jacob Brønnum","Scavenius, Jacob Brønnum (1749–1820)",1,
HCAP08194,Reg0110960,name_and_signature,"Scavenius, Jacob Brønnum","Scavenius, Jacob Brønnum (1811–1850)",5,
HCAP08195,Reg0110970,exact_name,"Scavenius, Jacob Frederik","Scavenius, Jacob Frederik (1870–1928)",1,
HCAP08196,Reg0110980,exact_name,"Scavenius, Louise Sophie, f. Castonier","Scavenius, Louise Sophie, f. Castonier (1844–1920)",7,
HCAP08197,Reg0110990,exact_name,"Scavenius, Lucie","Scavenius, Lucie (1844–1920)",16,
HCAP08198,Reg0111010,exact_name,"Scavenius, Otto","Scavenius, Otto (1849–1913)",0,
HCAP08199,Reg0111030,exact_name,"Scavenius, Peder","Scavenius, Peder (1866–1949)",1,
HCAP08200,Reg0111040,exact_name,"Scavenius, Peder Brønnum","Scavenius, Peder Brønnum (1795–1868)",14,
HCAP08202,Reg0111070,exact_name,"Schack, Frk.","Schack, Frk.",1,
HCAP08203,Reg0111080,exact_name,"Schack, Caroline Marie Elisabeth","Schack, Caroline Marie Elisabeth (1820–1899)",1,
HCAP08204,Reg0111090,exact_name,"Schack, Frederik","Schack, Frederik (1812–1893)",2,
HCAP08205,Reg0111100,exact_name,"Schack, Sophus","Schack, Sophus (1811–1864)",6,
HCAP08206,Reg0111110,exact_name,"Schaden, Adolf von","Schaden, Adolf von (1791–1840)",1,
HCAP08207,Reg0111120,exact_name,"Schadow, Gottfried","Schadow, Gottfried (1764–1850)",1,
HCAP08208,Reg0111130,exact_name,"Schaffalitzky de Muckadell, Vilhelm Josef Hendrik, Baron","Schaffalitzky de Muckadell, Vilhelm Josef Hendrik, Baron (1811–1876)",1,
HCAP08209,Reg0111140,exact_name,"Schaffner, Taliaferro Preston","Schaffner, Taliaferro Preston (1818–1881)",1,
HCAP08210,Reg0111150,exact_name,Schalburg,Schalburg,1,
HCAP08211,Reg0111160,exact_name,"Schalburg, Johan Frederik","Schalburg, Johan Frederik (død 1862)",1,
HCAP08212,Reg0111170,exact_name,"Schall, Claus","Schall, Claus (1757–1835)",1,
HCAP08213,Reg0111180,exact_name,"Schall, Karl","Schall, Karl (1780–1833)",1,
HCAP08214,Reg0111190,exact_name,"Schall, Margrethe, f. Schleuther","Schall, Margrethe, f. Schleuther (1775–1852)",1,
HCAP08215,Reg0111200,exact_name,"Schaller, Johann","Schaller, Johann (1777–1847)",2,
HCAP08216,Reg0111210,exact_name,"Schandorph, Sophus","Schandorph, Sophus (1836–1901)",6,
HCAP08217,Reg0111220,exact_name,"Scharff, Elvilda Antonia Victoria, f. Møller","Scharff, Elvilda Antonia Victoria, f. Møller (1846–1934)",3,
HCAP08218,Reg0111240,exact_name,"Scharff, Harald","Scharff, Harald (1836–1912)",0,
HCAP08219,Reg0111250,exact_name,"Scharffenberg, Paul","Scharffenberg, Paul (1810–1882)",1,
HCAP08220,Reg0111260,exact_name,"Scharling, Birgitte","Scharling, Birgitte (1840–1922)",5,
HCAP08221,Reg0111270,signature_only,"Scharling, C. E.","Scharling, G. E. (1803–1877)",3,
HCAP08222,Reg0111280,exact_name,"Scharling, Christian","Scharling, Christian (1842–1913)",5,
HCAP08223,Reg0111290,exact_name,"Scharling, E. A.","Scharling, E. A. (1807–1866)",18,
HCAP08224,Reg0111300,exact_name,"Scharling, Edvard","Scharling, Edvard (1846–1858)",1,
HCAP08225,Reg0111310,exact_name,"Scharling, Emil","Scharling, Emil (1822–1901)",2,
HCAP08226,Reg0111320,exact_name,"Scharling, Henrik","Scharling, Henrik (1836–1920)",14,
HCAP08227,Reg0111330,exact_name,"Scharling, Karen, f. Ørsted","Scharling, Karen, f. Ørsted (1815–1892)",22,
HCAP08228,Reg0111340,exact_name,"Scharling, Marie","Scharling, Marie (1848–1938)",9,
HCAP08229,Reg0111350,exact_name,"Scharling, Peter","Scharling, Peter (1832–1922)",1,
HCAP08230,Reg0111360,exact_name,"Scharling, Petra","Scharling, Petra (1844–1941)",6,
HCAP08231,Reg0111370,exact_name,"Scharling, Pouline Frederikke Marie, f. Holm","Scharling, Pouline Frederikke Marie, f. Holm (1826–1914)",1,
HCAP08232,Reg0111380,exact_name,"Scharling, William","Scharling, William (1837–1911)",0,
HCAP08233,Reg0111390,exact_name,"Scharnhorst, Christiane von","Scharnhorst, Christiane von (1787–1870)",4,
HCAP08234,Reg0111400,exact_name,"Scharnhorst, Sophie von","Scharnhorst, Sophie von (1796–1876)",2,
HCAP08235,Reg0111410,name_and_overlap,Schau,Schau,2,
HCAP08236,Reg0111440,exact_name,"Schau, Ernst","Schau, Ernst (1826–1864)",1,
HCAP08237,Reg0111450,exact_name,"Schau, Frederikke (Friede), f. von Krogh","Schau, Frederikke (Friede), f. von Krogh (1834–1899)",1,
HCAP08238,Reg0111460,exact_name,"Schau, Hansine","Schau, Hansine",4,
HCAP08239,Reg0111470,exact_name,"Schaubert, Eduard","Schaubert, Eduard",4,
HCAP08240,Reg0111480,exact_name,Schauer,Schauer,1,
HCAP08241,Reg0111490,exact_name,"Schaumburg-Lippe, Bathildis, Prinsesse af —, f. Prinsesse af Anhalt-Dessau","Schaumburg-Lippe, Bathildis, Prinsesse af –, f. Prinsesse af Anhalt-Dessau (1837–1902)",1,
HCAP08242,Reg0111500,name_and_overlap,Scheel,Scheel,1,
HCAP08243,Reg0111500,name_and_overlap,Scheel,Scheel,1,
HCAP08244,Reg0111520,exact_name,"Scheel, A. W.","Scheel, A. W. (1799–1879)",1,
HCAP08245,Reg0111530,exact_name,"Scheel, Carl, Greve","Scheel, Carl, Greve (1803–1870)",3,
HCAP08246,Reg0111540,exact_name,"Scheel, Christian","Scheel, Christian (1848–1916)",3,
HCAP08247,Reg0111550,exact_name,"Scheel, Christiane, Komtesse","Scheel, Christiane, Komtesse (1855–1934)",0,
HCAP08248,Reg0111570,exact_name,"Scheel, Henrik","Scheel, Henrik (1797–1865)",0,
HCAP08249,Reg0111580,exact_name,"Scheel, Marie, Komtesse","Scheel, Marie, Komtesse (1842–1933)",4,
HCAP08250,Reg0111590,exact_name,"Scheel, Preben Jørgen, Greve","Scheel, Preben Jørgen, Greve (1836–1900)",1,
HCAP08251,Reg0111600,exact_name,"Scheel, Siegfried, Greve","Scheel, Siegfried, Greve (1806–1881)",6,
HCAP08252,Reg0111610,exact_name,"Scheel, Sophie, Grevinde, f. von Buchwald","Scheel, Sophie, Grevinde, f. von Buchwald (1814–1880)",2,
HCAP08253,Reg0111620,exact_name,"Scheel, Sophie, Komtesse","Scheel, Sophie, Komtesse (1853–1929)",1,
HCAP08254,Reg0111630,exact_name,"Scheel, Thalia Sophie, f. Zeuthen","Scheel, Thalia Sophie, f. Zeuthen (1812–1853)",1,
HCAP08256,Reg0111650,exact_name,"Scheel-Plessen, Wulff, Lensgreve","Scheel-Plessen, Wulff, Lensgreve (1809–1876)",2,
HCAP08257,Reg0111670,exact_name,"Scheele, Charlotte von, f. Grevinde von Bothmer","Scheele, Charlotte von, f. Grevinde von Bothmer (1772–1849)",2,
