entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
Reg000313,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Barnet i Graven,,,,,,
Reg000320,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Bedstemoder,,,,,,
Reg000363,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Bispen paa Børglum og hans Frænde,,,,,,
Reg000385,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Brandtrommen gaaer, 
se: Guldskat",,Guldskat,,,,
Reg000431,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Børnesnak,,,,,,
Reg003600,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"»Dandse, dandse Dukke min!«",,,,,,
Reg003609,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Deilig!«,,,,,,
Reg003613,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Der er Forskjel«,,,,,,
Reg000848,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Det er ganske vist!,,,,,,
Reg000856,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Det suser giennem det gamle Træ, 
se: Hvad gamle Johanne fortalte",,Hvad gamle Johanne fortalte,,,,
Reg001003,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Dryaden,,,,,,
Reg001008,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Dynd-Kongens Datter,,,,,,
Reg001053,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Elverhøi,,,,,,
Reg001148,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Engelen,,,,,,
Reg001239,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Eventyrbogen, 
se: Krøblingen",,Krøblingen,,,,
Reg001275,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Fem fra en Ærtebælg,,,,,,
Reg001301,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Flaskehalsen,,,,,,
Reg001303,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Flipperne,,,,,,
Reg001310,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Flyttedagen,,,,,,
Reg000702,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den flyvende Kuffert,,,,,,
Reg001315,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Folkesangens Fugl,,,,,,
Reg001343,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Fra Degnens Bordskuffe, 
se: Hønse-Grethes Familie",,Hønse-Grethes Familie,,,,
Reg001409,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Gaardbanen og Veirhanen,,,,,,
Reg001410,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Gaaseurten,,,,,,
Reg000851,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Det gamle Egetræes sidste Drøm,,,,,,
Reg000708,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den gamle Gadeløgte,,,,,,
Reg000852,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Det gamle Huus,,,,,,
Reg000710,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den gamle Kirkeklokke,,,,,,
Reg001415,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Gamle Margrethe, 
se: Noget",,Noget,,,,
Reg001424,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Gartneren og Herskabet,,,,,,
Reg001458,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Gjemt er ikke glemt,,,,,,
Reg001219,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Et godt Humeur,,,,,,
Reg001476,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Grantræet,,,,,,
Reg000713,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den grimme Ælling,,,,,,
Reg001498,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Gudfaders Billedbog,,,,,,
Reg001504,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Guldskat,,,,,,
Reg001135,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"En heel Comedie, 
se: I Børnestuen",,I Børnestuen,,,,
Reg001581,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Herrebladene,,,,,,
Reg001084,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),En Historie,,,,,,
Reg001085,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),En Historie fra Klitterne,,,,,,
Reg001602,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Historien om en Moder,,,,,,
Reg001611,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hjertesorg,,,,,,
Reg001620,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Holger Danske,,,,,,
Reg003637,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Hun duede ikke«,,,,,,
Reg001653,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hurtigløberne,,,,,,
Reg001656,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Hvad Fatter gjør, det er altid det Rigtige",,,,,,
Reg001660,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hvad gamle Johanne fortalte,,,,,,
Reg001661,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hvad hele Familien sagde,,,,,,
Reg001662,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hvad man kan hitte paa,,,,,,
Reg001658,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hvad Tidselen oplevede,,,,,,
Reg001663,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hvem var den Lykkeligste?,,,,,,
Reg001667,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hyldemoer (Eventyr),,,,,,
Reg001678,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hønse-Grethes Familie,,,,,,
Reg001679,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Hørren,,,,,,
Reg001681,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),I Andegaarden,,,,,,
Reg001682,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),I Børnestuen,,,,,,
Reg001687,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"I Kludebunken, 
se: Laserne",,Laserne,,,,
Reg001707,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Ib og lille Christine,,,,,,
Reg001712,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Iisjomfruen,,,,,,
Reg001860,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Jødepigen,,,,,,
Reg001887,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Keiserens nye Klæder,,,,,,
Reg001897,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Kjærestefolkene,,,,,,
Reg001911,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Klokkedybet,,,,,,
Reg001912,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Klokken,,,,,,
Reg001922,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Kometen,,,,,,
