vol,page,date,month,year,heading,text
VII,7,1866-01-13,Januar,1866,Løverdag 13.,"007-08     Løverdag 13. Solskinsveir men koldt. Foræret Jette Collin
007-09         mine Blomster; da jeg senere kom hjem havde Hotellets Fru
007-10         Krüger sendt mig to smukke blomstrende Hyasinter. Besøgt [10]
007-11         Fru Henriques, Eckardts og Hartmanns. De vare igaar taget
007-12         ind fra Roeskilde med Aftentoget og vare gaaede i første
007-13         Classe for at kjøre med mig. — Da jeg kom hjem laae Brev
007-14         til mig fra Grevinde Frijs med Indbydelse til iaften; jeg har
007-15         ikke følt mig vel hele Dagen og det var mig kjedeligt at sige [15]
007-16         nei og slet ikke at komme med jeg gik derfor der ud og
007-17         mødte paa Veien den hanoveranske Gouvernante som overtog
007-18         at sige det men søgte at overtale mig sagde alle Diplomater
007-19         & kom der, det var den første store Route de gjorde.
007-20         — I Casino hvor jeg vilde tage Billet til imorgen, blev af [20]
007-21         Secretairen gjort mig opmærksom paa at da »Paa Langebro«
007-22         gik det er nu henved to Aar siden, havde de betalt mig
007-23         40 Rdlr for meget; de havde nemlig regnet een af to Gange
007-24         i Udbetaling, dette maa jeg nu saa længe efter tilbagebetale,
007-25         jeg veed ikke hvad min Indtægt var. I Theatret saae [25]
007-26         jeg den bogstavelige Udtydning; gik saa hjem endnu i Kamp"
VII,8,1866-01-13,Januar,1866,Løverdag 13.,"008-01         med mig selv om jeg skulde gaae til Conseilspresidentens
008-02         eller blive hjemme. Imorges fik jeg Brev fra Budde."
VII,8,1866-01-14,Januar,1866,Søndag 14.,"008-03     Søndag 14. I Nat, eller om man vil, imorges, vaagnede
008-04         jeg ved, Klokken halv to, at der udenfor blev paa svensk
008-05         raabt Hurrah! ni Gange, det var for Ole Bull, der har boet [5]
008-06         i Værelset hvor jeg nu boer, og er flyttet op i Værelserne jeg
008-07         beboede, før jeg tog paa Landet. Jeg sov til 9, gik saa op til
008-08         Bull, da Klokken var elleve, han stod ved at gaae ud, kyssede
008-09         mig paa hver Kind, sagde, jeg faaer altid Hyldest naar
008-10         jeg boer i Hotel med Dem, husker De i Marseille! — Han [10]
008-11         faar det nu mange Steder. Drak Kaffe hos Theodor Collin,
008-12         der hver Søndag har Kaffe Selskab for at samle Familien
008-13         som den kom hos hans Fader. Han har en mærkelig Fingerfærdighed,
008-14         nu har han modeleret en Løve, der æder en
008-15         Antilope, der er forunderligt Liv deri. Naar han døer vil [15]
008-16         Verden, det vil sige By-Sladderen sige han var ubetydelig,
008-17         der var dog Meget hos ham og saaledes kan vist Mange sige
008-18         ved Verdens Dom. Middag hos Thieles, jeg havde Fru
008-19         Lønborg tilbords der har gjordt mig Visit idag. Thiele udbragte
008-20         min Skaal som den Hjemkomne og den bortreisende. [20]
008-21         Var i Casino og hørte Rigoletto; kraftige Stemmer; Baryton
008-22         og Tenor tiltalte mig især; Primadonna har en høi reen
008-23         Stemme, men støder tidt Ordene ud, vækker ikke Sympati.
008-24         En af Casinos Choristinder Jomfru Kruse tog sig godt ud,
008-25         var smuk og sang net. Begeistringen er dog ikke saa overvættes. [25]"
VII,8,1866-01-15,Januar,1866,Mandag 15.,"008-26     Mandag 15. Graat, vaadt sølet! forstemt. Var hos Fru"
VII,9,1866-01-15,Januar,1866,Mandag 15.,"009-01         Tutein i matinée musicale indbudt af Frøken Dekner som
009-02         der gav en Consert, listede mig derfra, med Hold i Maven,
009-03         Gigt i Lemmerne. Middag hos Henriques med den unge
009-04         Poet Hansen som har skrevet Vers til mig, min seneste —
009-05         for ikke at sige sidste Fødselsdag. Gik i Casino for at høre [5]
009-06         Luzia di Lammermoore; Tenor og Baryton fortræffelig.
009-07         Luzia ogsaa for største Delen, men hun har ikke dramatisk
009-08         Sjæl. — Jeg sad op til den kongelige Loge; Enkedronningens
009-09         Kam[m]erherre Vedelheinen særdeles indladende, item Hr
009-10         Lund hos Kronprindsen. Besøgt Melchiors, Grosereren var [10]
009-11         her for at indbyde mig til imorgen Middag; var forgjæves
009-12         i Visit hos Grev Frijs, de var ude. — Jeg har en Følelse af at
009-13         mit Digterblus er slukt, min Tid ude, glemt og ikke gjemt,
009-14         uden maaskee for at rives ned af Smaafolk, men dog Skorpen
009-15         med Indskrifterne. Besøg i Dag af Viggo Drevsen; det [15]
009-16         har noget at betyde, han kommer aldrig til Folk."
VII,9,1866-01-16,Januar,1866,Tirsdag 16.,"009-17     Tirsdag 16. Vaadt, graat, »deiligt Veir paa denne Aarstid!«
009-18         sige Kjøbenhavnerne. Gik forgjæves ud til Fru Kock.
009-19         Besøgt Collins, Jette er dog den jeg bedst kan med, skjøndt
009-20         hun raader mig altid til at leve flot, som om jeg var riig! [20]
009-21         1200 er det Hele og nu gaae 900 paa denne Reise; Middag
009-22         hos Melchiors, sammen med en Hr og Fru Heiberg, hende
009-23         skal jeg have sidst havdt paa Skjødet i Helsingør hos Fru
009-24         Johlson, da hun som lille Barn var i dennes Institut. Dr
009-25         Heiberg skal være sig meget bevidst; det var forresten et [25]
009-26         smukt ungt Par; hvorfor fik jeg ikke saadan Ungdoms Lykke!"
VII,10,1866-01-16,Januar,1866,Tirsdag 16.,"010-01         men jeg har faaet det paa anden Maade. Var i Kongens
010-02         Theater og og gav Controleurerne 3 Rdlr i Nytaar. Overskous
010-03         Øster og Vestergade er aldeles Characterer lavede
010-04         efter andre gamle Stykker ført over i kjøbenhavnske K[j]oler,
010-05         tidligere da Kjolen var Mode tog det sig ud, nu er det ikke [5]
010-06         Natur. Gik i Casino for at høre Ole Bull og fik først halvandet
010-07         Stykke; der var fuldt Huus; Italienerne klappe for
010-08     Albrecht der synger med i deres Opera. Oles Spil varmede
010-09         mig ikke op; han var selv en gammel Mand, let bevægelig
010-10         som Hofmarschal Levetzau; jeg gik før det var ude. Sendt [10]
010-11         Brev til Fru Scavenius."
VII,10,1866-01-17,Januar,1866,Onsdag 17,"010-12     Onsdag 17 Vexlende Solskin og Graat; hentet hos Reitzel
010-13         200 Rdlr for de to Hefter Eventyr der bleve trykkede op.
010-14         Han fortalte mig at af de 5000 Exemplarer nye Eventyr iaar
010-15         var alt solgt 4500. Besøg af Sangeren Jastrau; i Theatret traf [15]
010-16         jeg ham iaften, hvor han fortalte mig at eet af mine Eventyr
010-17         La madra var oversat og stod i eet af Madrids meest udbredte
010-18         Blade, særligt i Amerika, stod ordret oversat og udgivet
010-19         af en spansk Digter, netop det Digt som oversat paa
010-20         hindostansk saa særdeles der har tiltalt. Fik Besøg af Henrik [20]
010-21         Scharling, da jeg raadspurgte ham om at lægge Reiseplan,
010-22         da jeg ikke har stor Lyst til Paris i længere Tid, foreslog han
010-23         mig at besøge Holland, talte om vor Landsmand Brandt i
010-24         Amsterdam, hans store Gjæstfrihed, selv havde han været
010-25         hos ham i sex i Uger; han vilde blive glad ved at have mig; [25]
010-26         men han har indbudt mig sagde jeg, særdeles indbudt mig
010-27         og jeg tog Beslutning at skrive Brandt til om han var i Amsterdam"
VII,11,1866-01-17,Januar,1866,Onsdag 17,"011-01         og om der var Cholera; og med eet var det afgjort
011-02         hos mig, at faae nogen Ro i Udreisen. Jeg sendte Brev
011-03         afsted og kan i næste Uge have Brev igjen, bryder han sig
011-04         stort om mit Komme. Middag hos Collins med de unge
011-05         Arons fra Rungsted. Fruen fra Vestindien og Naturforskeren [5]
011-06         Bergsøe, der syntes nu mere at ville nærme sig mig. I Kongens
011-07         Theater: De Nygifte og Ole Bull, han er blevet graahaaret,
011-08         har Hofmarschall Levetzaus Holdning, (han der syntes at
011-09         kunne knappe Buxerne for en Konge); Jeg kjedede mig; kan
011-10         jeg det ikke med Violinspil, engang blev jeg varm ved Ole [10]
011-11         Bulll var det min Phantasie eller er jeg nu blevet afstumpet,
011-12         Hartmann sagde at det kunstige var ikke correct, det sjælelige
011-13         derimod gribende, men det første gjorte meest Lykke."
VII,11,1866-01-18,Januar,1866,Torsdag 18.,"011-14     Torsdag 18. Regn og Søle. Var i udenlandske Departement
011-15         hvor Etatsraad Wedel tog med Varme mod mig, som var vi [15]
011-16         gamle Venner. Han lovede at arangere Alt for mig til Afreisen.
011-17         Middag hos Hartmann. Var et Øieblik i Theatret
011-18         og saae lidt af Regimentets Datter. Fru Rise kan ikke fylde
011-19         det i Sang, spille har hun ikke heldigt Tilløb til men det blev
011-20         dog en Jenny Lind mod Fru Zincks Gjengivelse af Grevinden; [20]
011-21         lige fra Gaden maa man kunde kalde Folk ind der
011-22         gjør det lige saa godt. Tomt Huus, men Rises Familie. Klokken
011-23         ½9 tog jeg til Christiansborg, traf mange Bekjendte,
011-24         blev frygtelig træt og ved Consertens Begyndelse tog jeg
011-25         bort saa at jeg var hjemme henimod elleve. [25]"
