entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0108120,"Rubini, Giovanni Battista (1795–1854)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,"Italiensk Operasanger, Godsejer ved Gomosøen."
Reg0108130,"Rubinstein, Anton (1829–1894)",russisk,russisk,Russisk,national,0,leading,single,subject,russisk Komponist og Pianist.
Reg0108190,Ruet,tyrkisk,tyrkisk,Tyrkisk,national,0,leading,single,subject,"tyrkisk Redaktør, Konstantinopel 1841."
Reg0108200,"Ruisdael, Jacob van (1628–1682)",Hollandsk,hollandsk,Hollandsk,national,0,leading,single,subject,Hollandsk Maler.
Reg0108230,"Rumohr, Karl von (1786–1843)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Forfatter.
Reg0108250,"Runeberg, Johan Ludvig (1804–1877)",finlandssvensk,finlandssvensk,Finlandssvensk,minority,0,leading,single,subject,finlandssvensk Digter.
Reg0108270,"Runeberg, Walter (1838–1920)",finsk,finsk,Finsk,national,5,embedded,single,unclear,"Søn af J.L.R., finsk Billedhugger."
Reg0108490,"Russell, John (1861 Jarl af R.) (1792–1878)",Engelsk,engelsk,Engelsk,national,0,leading,single,subject,"Engelsk Politiker, 1846–1852 og 1865–1866 Premierminister."
Reg0108550,"Rückert, Friedrich (1788–1866)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Digter.
Reg0108560,"Rydberg, Viktor (1828–1895)",Svensk,svensk,Svensk,national,0,leading,single,subject,Svensk Digter og Journalist.
Reg0108570,"Rüdiger, Elise, f. Friherreinde von Hohenhausen (1812–1899)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Forfatterinde (Elisa von Hohenhausen), Datter af Elise von Hohenhausen, g. 1831 m. Karl R."
Reg0108670,"Räder, Gustav (1810–1868)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Skuespiller og Skuespilforfatter.
Reg0108710,"Ræder, Karen Sophie Hedvig, f. Munch (1794–1874)",norsk,norsk,Norsk,national,2,embedded,single,possible_relation,Enke efter norsk Oberstløjtnant Johan Christopher R.
Reg0108790,"Röhl, Frøken",tysk-slesvigsk (part: tysk),tysk,Tysk,national,4,embedded,hyphen_compound,unclear,"Datter af Wilhelmine R., tysk-slesvigsk Forfatterinde."
Reg0108790,"Röhl, Frøken",tysk-slesvigsk (part: slesvigsk),slesvigsk,Slesvigsk,border_region,4,embedded,hyphen_compound,unclear,"Datter af Wilhelmine R., tysk-slesvigsk Forfatterinde."
Reg0109210,"Rötscher, Heinrich Theodor (1803–1871)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Æstetiker, Litteraturhistoriker og Dramaturg."
Reg0109270,"Sabbatini, Lorenzo (Lorenzino da Bologna) (ca. 1530–76)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
